,Adresse,lat,lon,Firmen,Telbuch
1287,"Eichrüti 24, 6333 Hünenberg See",47.1683781,8.448946099999999,2,6
1288,"Dersbachstrasse 54, 6333 Hünenberg See",47.1715279,8.450839199999999,2,0
1291,"Suurstoffi 13A, 6343 Rotkreuz",47.14510509999999,8.4347602,2,2
1293,"Eichmattstrasse 117, 6333 Hünenberg See",47.1804229,8.4412444,2,1
1303,"Eichmattstrasse 128, 6333 Hünenberg See",47.1802127,8.442743499999999,2,0
1305,"Betlehem , 631302 Menzingen",31.7053821,5.2024425,2,0
1326,"Unterer Chämletenweg 20, 6333 Hünenberg See",47.169451,8.448663,2,4
1330,"Unterer Chämletenweg 14, 6333 Hünenberg See",47.1701178,8.448543599999999,2,1
1338,"Unterer Chämletenweg 6, 6333 Hünenberg See",47.1711369,8.4482463,2,2
1355,"Unterer Chämletenweg 8, 6333 Hünenberg See",47.1709655,8.4482958,2,3
1432,"Widenstrasse 25, 6317 Oberwil b. Zug",47.14437210000001,8.5090238,2,2
1435,"Floraweg 23, 634302 Buonas",47.1413242,8.4522797,2,0
1456,"Rebhalde 7, 6340 Baar",47.2054111,8.519433099999999,1,0
1458,"Zythusmatt 25, 6333 Hünenberg See",47.1751425,8.4469235,1,6
1461,"Rebhalde 2, 6340 Baar",47.2048744,8.518341099999999,1,8
1467,"Rainweidstrasse 12B, 6333 Hünenberg See",47.176054,8.444526399999999,1,1
1469,"Rainweidstrasse 13, 6333 Hünenberg See",47.1759415,8.4441147,1,2
1473,"Zythusmatt 28, 6333 Hünenberg See",47.1756122,8.447621999999999,1,4
1475,"Zythusmatt 13, 6333 Hünenberg See",47.1748401,8.4465221,1,7
1480,"Rainweidstrasse 13A, 6333 Hünenberg See",47.1757711,8.4439538,1,1
1482,"Zythusmatt 2, 6333 Hünenberg See",47.1742613,8.4479095,1,42
1492,"Walterswil 1, 6341 Baar",47.2103942,8.5572942,1,0
1510,"Zythusmatt 21, 6333 Hünenberg See",47.17523680000001,8.4475102,1,5
1514,"Rainweidstrasse 15C, 6333 Hünenberg See",47.1758743,8.4434677,1,1
1518,"Zythusmatt 30, 6333 Hünenberg See",47.1756001,8.4470508,1,3
1527,"Zythusmatt 24, 6333 Hünenberg See",47.175421,8.448130899999999,1,5
1539,"Unterer Chämletenweg 22, 6333 Hünenberg See",47.1692343,8.4487644,1,4
1540,"Vordergeissboden , 6300 Zugerberg",47.1438034,8.536852,1,3
1541,"Unterer Chämletenweg 4, 6333 Hünenberg See",47.171354,8.4481053,1,2
1544,"Zythusmatt 4, 6333 Hünenberg See",47.17425919999999,8.4481469,1,5
1546,"Unterschluen , 631502 Alosen",12.8996987,9.67266320000002,1,0
1550,"Zythusmatt 9, 6333 Hünenberg See",47.1744311,8.447002399999999,1,5
1556,"Rainweidstrasse 7, 6333 Hünenberg See",47.1751278,8.444482599999999,1,1
1557,"Raten , 631502 Alosen",47.141944,8.663611,1,0
1564,"Unterer Chämletenweg 7A, 6333 Hünenberg See",47.17026,8.448731,1,5
1568,"Unterer Chämletenweg 10, 6333 Hünenberg See",47.1705783,8.4483413,1,0
1572,"Zythusmatt 1, 6333 Hünenberg See",47.1742381,8.4474737,1,27
