,output,Adresse
10,"{'results': [{'address_components': [{'long_name': '18B', 'short_name': '18B', 'types': ['street_number']}, {'long_name': 'Zugerstrasse', 'short_name': 'Zugerstrasse', 'types': ['route']}, {'long_name': 'Walchwil', 'short_name': 'Walchwil', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6318', 'short_name': '6318', 'types': ['postal_code']}], 'formatted_address': 'Zugerstrasse 18B, 6318 Walchwil, Switzerland', 'geometry': {'location': {'lat': 47.1013366, 'lng': 8.5118174}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1026855802915, 'lng': 8.513166380291503}, 'southwest': {'lat': 47.0999876197085, 'lng': 8.510468419708499}}}, 'partial_match': True, 'place_id': 'ChIJffAMA_1UhUcRXlrbaeSEJ28', 'plus_code': {'compound_code': '4G26+GP Walchwil, Switzerland', 'global_code': '8FVC4G26+GP'}, 'types': ['street_address']}], 'status': 'OK'}","Zugerstrasse 18B, 6318 Walchwil"
11,"{'results': [{'address_components': [{'long_name': '58A', 'short_name': '58A', 'types': ['street_number']}, {'long_name': 'Zugerstrasse', 'short_name': 'Zugerstrasse', 'types': ['route']}, {'long_name': 'Cham', 'short_name': 'Cham', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6330', 'short_name': '6330', 'types': ['postal_code']}], 'formatted_address': 'Zugerstrasse 58A, 6330 Cham, Switzerland', 'geometry': {'location': {'lat': 47.18178899999999, 'lng': 8.4673806}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1831379802915, 'lng': 8.468729580291503}, 'southwest': {'lat': 47.1804400197085, 'lng': 8.466031619708499}}}, 'partial_match': True, 'place_id': 'ChIJhUUomo4AkEcRyFwNk83C658', 'plus_code': {'compound_code': '5FJ8+PX Cham, Switzerland', 'global_code': '8FVC5FJ8+PX'}, 'types': ['street_address']}], 'status': 'OK'}","Zugerstrasse 58A, 6330 Cham"
12,"{'results': [{'address_components': [{'long_name': '3', 'short_name': '3', 'types': ['street_number']}, {'long_name': 'Seefeldquai', 'short_name': 'Seefeldquai', 'types': ['route']}, {'long_name': 'Walchwil', 'short_name': 'Walchwil', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6318', 'short_name': '6318', 'types': ['postal_code']}], 'formatted_address': 'Seefeldquai 3, 6318 Walchwil, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.0958516, 'lng': 8.518228400000002}, 'southwest': {'lat': 47.0956875, 'lng': 8.5179904}}, 'location': {'lat': 47.0957677, 'lng': 8.518101399999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.0971185302915, 'lng': 8.519458380291505}, 'southwest': {'lat': 47.0944205697085, 'lng': 8.5167604197085}}}, 'partial_match': True, 'place_id': 'ChIJq8QvyvlUhUcRFa32wPDYIN8', 'types': ['premise']}], 'status': 'OK'}","Seefeldquai 3, 6318 Walchwil"
13,"{'results': [{'address_components': [{'long_name': 'Allenwinden', 'short_name': 'Allenwinden', 'types': ['colloquial_area', 'political']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6319', 'short_name': '6319', 'types': ['postal_code']}], 'formatted_address': 'Allenwinden, 6319 Baar, Switzerland', 'geometry': {'location': {'lat': 47.1642535, 'lng': 8.5569483}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.17183929999999, 'lng': 8.5729557}, 'southwest': {'lat': 47.1566667, 'lng': 8.540940899999999}}}, 'partial_match': True, 'place_id': 'ChIJG7i7DXSrmkcR3BAXVTyXlDs', 'types': ['colloquial_area', 'political']}], 'status': 'OK'}","Sonnmattstrasse 3, 6319 Allenwinden"
14,"{'results': [{'address_components': [{'long_name': '58B', 'short_name': '58B', 'types': ['street_number']}, {'long_name': 'Zugerstrasse', 'short_name': 'Zugerstrasse', 'types': ['route']}, {'long_name': 'Cham', 'short_name': 'Cham', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6330', 'short_name': '6330', 'types': ['postal_code']}], 'formatted_address': 'Zugerstrasse 58B, 6330 Cham, Switzerland', 'geometry': {'location': {'lat': 47.1817973, 'lng': 8.4674599}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1831462802915, 'lng': 8.468808880291501}, 'southwest': {'lat': 47.1804483197085, 'lng': 8.466110919708496}}}, 'place_id': 'ChIJ6VEZmo4AkEcR0rnlz7VRZp4', 'plus_code': {'compound_code': '5FJ8+PX Cham, Switzerland', 'global_code': '8FVC5FJ8+PX'}, 'types': ['street_address']}], 'status': 'OK'}","Zugerstrasse 58B, 6330 Cham"
15,"{'results': [{'address_components': [{'long_name': 'Seefeld', 'short_name': 'Seefeld', 'types': ['locality', 'political']}, {'long_name': 'Innsbruck-Land District', 'short_name': 'Innsbruck-Land District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Tyrol', 'short_name': 'Tyrol', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Austria', 'short_name': 'AT', 'types': ['country', 'political']}], 'formatted_address': 'Seefeld, Austria', 'geometry': {'bounds': {'northeast': {'lat': 47.36984, 'lng': 11.25716}, 'southwest': {'lat': 47.31932, 'lng': 11.1636999}}, 'location': {'lat': 47.3300017, 'lng': 11.1877742}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.36984, 'lng': 11.25716}, 'southwest': {'lat': 47.31932, 'lng': 11.1636999}}}, 'partial_match': True, 'place_id': 'ChIJORw1LwYRnUcR_DELmK6v64A', 'types': ['locality', 'political']}], 'status': 'OK'}","Seefeld 49, 634303 Risch"
16,"{'results': [{'address_components': [{'long_name': '4', 'short_name': '4', 'types': ['street_number']}, {'long_name': 'Zugerstrasse', 'short_name': 'Zugerstrasse', 'types': ['route']}, {'long_name': 'Unterägeri', 'short_name': 'Unterägeri', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6314', 'short_name': '6314', 'types': ['postal_code']}], 'formatted_address': 'Zugerstrasse 4, 6314 Unterägeri, Switzerland', 'geometry': {'location': {'lat': 47.1375165, 'lng': 8.583898699999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.13886548029149, 'lng': 8.585247680291502}, 'southwest': {'lat': 47.13616751970849, 'lng': 8.582549719708497}}}, 'partial_match': True, 'place_id': 'ChIJT5Rb5WWtmkcRHwk-xZPx-MA', 'plus_code': {'compound_code': '4HQM+2H Unterägeri, Switzerland', 'global_code': '8FVC4HQM+2H'}, 'types': ['clothing_store', 'establishment', 'point_of_interest', 'store']}], 'status': 'OK'}","Zugerstrasse 58C, 6314 Unterägeri"
17,"{'results': [{'address_components': [{'long_name': '58D', 'short_name': '58D', 'types': ['street_number']}, {'long_name': 'Zugerstrasse', 'short_name': 'Zugerstrasse', 'types': ['route']}, {'long_name': 'Cham', 'short_name': 'Cham', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6330', 'short_name': '6330', 'types': ['postal_code']}], 'formatted_address': 'Zugerstrasse 58D, 6330 Cham, Switzerland', 'geometry': {'location': {'lat': 47.1818219, 'lng': 8.4677242}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.1831708802915, 'lng': 8.469073180291502}, 'southwest': {'lat': 47.1804729197085, 'lng': 8.466375219708498}}}, 'place_id': 'ChIJh3LfkI4AkEcR7gLcuxB-6u0', 'plus_code': {'compound_code': '5FJ9+P3 Cham, Switzerland', 'global_code': '8FVC5FJ9+P3'}, 'types': ['street_address']}], 'status': 'OK'}","Zugerstrasse 58D, 6330 Cham"
18,"{'results': [{'address_components': [{'long_name': '12', 'short_name': '12', 'types': ['street_number']}, {'long_name': 'Sonnrain', 'short_name': 'Sonnrain', 'types': ['route']}, {'long_name': 'Baar', 'short_name': 'Baar', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}, {'long_name': '6340', 'short_name': '6340', 'types': ['postal_code']}], 'formatted_address': 'Sonnrain 12, 6340 Baar, Switzerland', 'geometry': {'location': {'lat': 47.2014727, 'lng': 8.5118329}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.20282168029151, 'lng': 8.513181880291501}, 'southwest': {'lat': 47.20012371970851, 'lng': 8.510483919708498}}}, 'partial_match': True, 'place_id': 'ChIJO_TRfxeqmkcRKjRLB7uA7UQ', 'plus_code': {'compound_code': '6G26+HP Baar, Switzerland', 'global_code': '8FVC6G26+HP'}, 'types': ['street_address']}], 'status': 'OK'}","Sonnrain 12, 6340 Baar"
19,"{'results': [{'address_components': [{'long_name': 'Seefeld', 'short_name': 'Seefeld', 'types': ['locality', 'political']}, {'long_name': 'Innsbruck-Land District', 'short_name': 'Innsbruck-Land District', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Tyrol', 'short_name': 'Tyrol', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Austria', 'short_name': 'AT', 'types': ['country', 'political']}], 'formatted_address': 'Seefeld, Austria', 'geometry': {'bounds': {'northeast': {'lat': 47.36984, 'lng': 11.25716}, 'southwest': {'lat': 47.31932, 'lng': 11.1636999}}, 'location': {'lat': 47.3300017, 'lng': 11.1877742}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.36984, 'lng': 11.25716}, 'southwest': {'lat': 47.31932, 'lng': 11.1636999}}}, 'partial_match': True, 'place_id': 'ChIJORw1LwYRnUcR_DELmK6v64A', 'types': ['locality', 'political']}, {'address_components': [{'long_name': 'Risch-Rotkreuz', 'short_name': 'Risch-Rotkreuz', 'types': ['locality', 'political']}, {'long_name': 'Zug', 'short_name': 'Zug', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Canton of Zug', 'short_name': 'ZG', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Switzerland', 'short_name': 'CH', 'types': ['country', 'political']}], 'formatted_address': 'Risch-Rotkreuz, Switzerland', 'geometry': {'bounds': {'northeast': {'lat': 47.1712601, 'lng': 8.48939}, 'southwest': {'lat': 47.11344, 'lng': 8.41188}}, 'location': {'lat': 47.1410511, 'lng': 8.429827399999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.1712601, 'lng': 8.48939}, 'southwest': {'lat': 47.11344, 'lng': 8.41188}}}, 'partial_match': True, 'place_id': 'ChIJDW6VvyEAkEcRHYFyU70fZIo', 'types': ['locality', 'political']}], 'status': 'OK'}","Seefeld 3, 634303 Rotkreuz"
