EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
314977;0;ZG;1705;Neuheim;Hinterburgstrasse;1;6345;0;Neuheim;2685989.746;1228273.463;de
314979;0;ZG;1705;Neuheim;Hinterburgstrasse;3;6345;0;Neuheim;2685976.82;1228252.786;de
314980;0;ZG;1705;Neuheim;Hinterburgstrasse;4;6345;0;Neuheim;2685948.145;1228262.904;de
314981;0;ZG;1705;Neuheim;Hinterburgstrasse;5;6345;0;Neuheim;2685961.871;1228218.408;de
314983;0;ZG;1705;Neuheim;Hinterburgstrasse;21;6345;0;Neuheim;2685782.201;1228004.534;de
314984;0;ZG;1705;Neuheim;Hinterburgstrasse;25;6345;0;Neuheim;2685799.324;1227973.613;de
314985;0;ZG;1705;Neuheim;Hinterburgstrasse;27;6345;0;Neuheim;2685793.929;1227930.519;de
314986;0;ZG;1705;Neuheim;Hinterburgstrasse;32;6345;0;Neuheim;2685733.991;1228016.688;de
314987;0;ZG;1705;Neuheim;Hinterburgstrasse;44;6345;0;Neuheim;2685842.19;1227843.69;de
314989;0;ZG;1705;Neuheim;Sonnenweg;4;6345;0;Neuheim;2685899.393;1228322.287;de
314990;0;ZG;1705;Neuheim;Neuhofstrasse;7;6345;0;Neuheim;2686053.517;1228613.356;de
314992;0;ZG;1705;Neuheim;Hinterburg;1;6345;0;Neuheim;2685729.146;1228045.808;de
314993;0;ZG;1705;Neuheim;Hinterburg;2;6345;0;Neuheim;2685656.77;1228119.555;de
314994;0;ZG;1705;Neuheim;Kreuzrainweg;1;6345;0;Neuheim;2685888.499;1228363.27;de
314995;0;ZG;1705;Neuheim;Hafnerhof;1;6345;0;Neuheim;2685833.65;1227898.91;de
314996;0;ZG;1705;Neuheim;Baarburgstrasse;10;6345;0;Neuheim;2685106.388;1228638.202;de
314997;0;ZG;1705;Neuheim;Baarerstrasse;2;6345;0;Neuheim;2685217.357;1228610.807;de
314998;0;ZG;1705;Neuheim;Baarerstrasse;3a;6345;0;Neuheim;2685333.838;1228395.204;de
314999;0;ZG;1705;Neuheim;Baarerstrasse;4;6345;0;Neuheim;2685162.242;1228707.675;de
315000;0;ZG;1705;Neuheim;Baarburgstrasse;30;6345;0;Neuheim;2685262.816;1228082.532;de
315002;0;ZG;1705;Neuheim;Baarburgstrasse;20;6345;0;Neuheim;2685149.11;1228450.96;de
315003;0;ZG;1705;Neuheim;Baarerstrasse;1;6345;0;Neuheim;2685415.497;1228297.568;de
315004;0;ZG;1705;Neuheim;Baarburgstrasse;40;6345;0;Neuheim;2685290.291;1227908.696;de
315005;0;ZG;1705;Neuheim;Burgweid;1;6345;0;Neuheim;2686203.218;1227596.516;de
315006;0;ZG;1705;Neuheim;Burgweid;3;6345;0;Neuheim;2686328.607;1227634.207;de
315007;0;ZG;1705;Neuheim;Burgweid;2;6345;0;Neuheim;2686259.041;1227623.146;de
315008;0;ZG;1705;Neuheim;Hegglihof;1;6345;0;Neuheim;2685752.056;1227772.959;de
315009;0;ZG;1705;Neuheim;Feld;1;6345;0;Neuheim;2685516.986;1227518.178;de
315010;0;ZG;1705;Neuheim;Hinterburgstrasse;46;6345;0;Neuheim;2685853.642;1227836.596;de
315011;0;ZG;1705;Neuheim;Höllmättli;1;6340;0;Baar;2685004.658;1227592.026;de
315012;0;ZG;1705;Neuheim;Höllgrotten;1;6340;0;Baar;2684939.807;1227091.917;de
315013;0;ZG;1705;Neuheim;Höll;1;6340;0;Baar;2684980.176;1227209.201;de
315014;0;ZG;1705;Neuheim;Edlibachstrasse;69;6345;0;Neuheim;2686051.072;1227691.31;de
315015;0;ZG;1705;Neuheim;Hinterburgstrasse;34;6345;0;Neuheim;2685731.94;1228009.461;de
315018;0;ZG;1705;Neuheim;Im Blatt A;1;6345;0;Neuheim;2686099.676;1228297.708;de
315024;0;ZG;1705;Neuheim;Im Blatt B;1;6345;0;Neuheim;2686098.241;1228280.413;de
315032;0;ZG;1705;Neuheim;Im Blatt C;1;6345;0;Neuheim;2686088.301;1228244.813;de
315040;0;ZG;1705;Neuheim;Im Blatt D;1;6345;0;Neuheim;2686084.337;1228225.783;de
315048;0;ZG;1705;Neuheim;Im Blatt E;1;6345;0;Neuheim;2686076.628;1228191.036;de
315056;0;ZG;1705;Neuheim;Im Blatt F;1;6345;0;Neuheim;2686069.782;1228172.511;de
315064;0;ZG;1705;Neuheim;Blatt;1;6345;0;Neuheim;2686036.276;1228014.668;de
315065;0;ZG;1705;Neuheim;Büel;1;6345;0;Neuheim;2686504.675;1228476.729;de
315066;0;ZG;1705;Neuheim;Büel;2;6345;0;Neuheim;2686507.985;1228457.029;de
315067;0;ZG;1705;Neuheim;Rütiweid;1;6345;0;Neuheim;2686499.878;1228419.475;de
315068;0;ZG;1705;Neuheim;Rütiweid;2;6345;0;Neuheim;2686429.823;1228380.838;de
315069;0;ZG;1705;Neuheim;Blattweid;1;6345;0;Neuheim;2686229.621;1228061.124;de
315070;0;ZG;1705;Neuheim;Birkenstrasse;1;6345;0;Neuheim;2686354.53;1228890.063;de
315071;0;ZG;1705;Neuheim;Birkenstrasse;3;6345;0;Neuheim;2686349.521;1228900.197;de
315072;0;ZG;1705;Neuheim;Birkenstrasse;4;6345;0;Neuheim;2686388.379;1228948.842;de
315073;0;ZG;1705;Neuheim;Birkenstrasse;17;6345;0;Neuheim;2686325.119;1228991.064;de
315074;0;ZG;1705;Neuheim;Birkenstrasse;19;6345;0;Neuheim;2686321.53;1228996.534;de
315075;0;ZG;1705;Neuheim;Birkenstrasse;21;6345;0;Neuheim;2686318.112;1229002.174;de
315076;0;ZG;1705;Neuheim;Birkenstrasse;23;6345;0;Neuheim;2686317.088;1229009.183;de
315077;0;ZG;1705;Neuheim;Birkenstrasse;25;6345;0;Neuheim;2686313.671;1229014.311;de
315078;0;ZG;1705;Neuheim;Windenboden;1;6345;0;Neuheim;2686343.413;1229031.063;de
315079;0;ZG;1705;Neuheim;Windenboden;2;6345;0;Neuheim;2686343.072;1229038.071;de
315080;0;ZG;1705;Neuheim;Windenboden;3;6345;0;Neuheim;2686340.851;1229043.543;de
315081;0;ZG;1705;Neuheim;Windenboden;4;6345;0;Neuheim;2686341.023;1229047.303;de
315082;0;ZG;1705;Neuheim;Windenboden;5;6345;0;Neuheim;2686348.719;1229052.335;de
315083;0;ZG;1705;Neuheim;Windenboden;6;6345;0;Neuheim;2686353.5;1229052.432;de
315084;0;ZG;1705;Neuheim;Windenboden;7;6345;0;Neuheim;2686360.677;1229053.46;de
315085;0;ZG;1705;Neuheim;Windenboden;8;6345;0;Neuheim;2686365.975;1229051.409;de
