EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
319495;0;ZG;1711;Zug;Artherstrasse;233;6317;0;Oberwil b. Zug;2680320.674;1219783.957;de
319496;0;ZG;1711;Zug;Oterswil;;6317;0;Oberwil b. Zug;2680603.771;1220340.821;de
319497;0;ZG;1711;Zug;Weidlistrasse;2;6317;0;Oberwil b. Zug;2680710.126;1220412.46;de
319498;0;ZG;1711;Zug;Station Zugerberg;3;6300;5;Zugerberg;2683003.915;1222019.174;de
319499;0;ZG;1711;Zug;Station Zugerberg;1;6300;5;Zugerberg;2682998.611;1222015.503;de
319500;0;ZG;1711;Zug;Juchenegg;1;6300;5;Zugerberg;2682469.632;1221955.103;de
319501;0;ZG;1711;Zug;Widishof;;6300;5;Zugerberg;2682333.781;1222114.824;de
319502;0;ZG;1711;Zug;Felsenegg;10;6300;5;Zugerberg;2683024.312;1221930.648;de
319503;0;ZG;1711;Zug;Felsenegg;14;6300;5;Zugerberg;2682956.605;1221849.046;de
319506;0;ZG;1711;Zug;Schönfels;15;6300;5;Zugerberg;2683103.252;1222016.524;de
319507;0;ZG;1711;Zug;Alpli;;6318;0;Walchwil;2685775.71;1216102.846;de
319508;0;ZG;1711;Zug;Vordergeissboden;2;6300;5;Zugerberg;2683300.804;1222018.869;de
319509;0;ZG;1711;Zug;Vordergeissboden;5;6300;5;Zugerberg;2683322.731;1221968.691;de
319510;0;ZG;1711;Zug;Hintergeissboden;1;6300;5;Zugerberg;2683162.212;1220628.162;de
319511;0;ZG;1711;Zug;Hintergeissboden;2;6300;5;Zugerberg;2683196.783;1220565.217;de
319512;0;ZG;1711;Zug;Chellenweid;1;6300;5;Zugerberg;2682349.715;1220613.54;de
319513;0;ZG;1711;Zug;Oberhorbach;1;6300;5;Zugerberg;2682044.638;1220346.93;de
319514;0;ZG;1711;Zug;Horbach;3;6300;5;Zugerberg;2681665.639;1220543.028;de
319515;0;ZG;1711;Zug;Horbach;7;6300;5;Zugerberg;2681709.549;1220425.227;de
319516;0;ZG;1711;Zug;Schönfels;5;6300;5;Zugerberg;2683072.129;1222051.919;de
319517;0;ZG;1711;Zug;Schönfels;9;6300;5;Zugerberg;2683112.693;1222080.618;de
319518;0;ZG;1711;Zug;Felsenegg;2;6300;5;Zugerberg;2683040.019;1222002.652;de
319519;0;ZG;1711;Zug;Tschuepisweg;2;6300;0;Zug;2682383.713;1223624.308;de
319520;0;ZG;1711;Zug;Guger;2;6300;5;Zugerberg;2682808.497;1223849.034;de
319521;0;ZG;1711;Zug;Tschuepisweg;6;6300;0;Zug;2682579.592;1223575.658;de
319522;0;ZG;1711;Zug;Grossmatt;;6300;5;Zugerberg;2683010.789;1223507.829;de
319523;0;ZG;1711;Zug;Berghof;2;6300;5;Zugerberg;2683247.047;1223639.199;de
319525;0;ZG;1711;Zug;Klosterhof;1;6300;5;Zugerberg;2682925.632;1223272.797;de
319526;0;ZG;1711;Zug;Sennhütte;;6300;5;Zugerberg;2683036;1223222;de
319527;0;ZG;1711;Zug;Unterhof;1;6300;5;Zugerberg;2683083.7;1223046.064;de
319528;0;ZG;1711;Zug;Urihof;;6300;5;Zugerberg;2683656.79;1223590.831;de
319529;0;ZG;1711;Zug;Walishof;;6300;5;Zugerberg;2683510.78;1223458.83;de
319530;0;ZG;1711;Zug;Mittelmatt;;6300;5;Zugerberg;2683273.786;1223002.828;de
319531;0;ZG;1711;Zug;Schindellegi;1;6300;5;Zugerberg;2683307.397;1222777.908;de
319533;0;ZG;1711;Zug;Eschmannshof;1;6300;5;Zugerberg;2683327.359;1223935.557;de
319534;0;ZG;1711;Zug;Eschmannshof;2;6300;5;Zugerberg;2683372.515;1223875.783;de
319535;0;ZG;1711;Zug;Blasenberg;4;6300;5;Zugerberg;2682732.23;1223514.861;de
319536;0;ZG;1711;Zug;Schindellegi;2;6300;5;Zugerberg;2683607.224;1222787.45;de
319541;0;ZG;1711;Zug;Räbmatt;29;6317;0;Oberwil b. Zug;2681148.662;1221307.214;de
319542;0;ZG;1711;Zug;Räbmatt;31;6317;0;Oberwil b. Zug;2681146.666;1221272.128;de
319545;0;ZG;1711;Zug;Räbmatt;43;6317;0;Oberwil b. Zug;2681097.574;1221345.649;de
319546;0;ZG;1711;Zug;Räbmatt;19b;6317;0;Oberwil b. Zug;2681100.588;1221397.957;de
319547;0;ZG;1711;Zug;Räbmatt;17;6317;0;Oberwil b. Zug;2681068.22;1221396.027;de
319548;0;ZG;1711;Zug;Räbmatt;22;6317;0;Oberwil b. Zug;2681054.47;1221366.065;de
319549;0;ZG;1711;Zug;Räbmatt;24;6317;0;Oberwil b. Zug;2681076.141;1221352.498;de
319550;0;ZG;1711;Zug;Räbmatt;26;6317;0;Oberwil b. Zug;2681081.677;1221330.176;de
319551;0;ZG;1711;Zug;Räbmatt;28;6317;0;Oberwil b. Zug;2681081.31;1221308.497;de
319552;0;ZG;1711;Zug;Räbmatt;30;6317;0;Oberwil b. Zug;2681079.273;1221280.23;de
319553;0;ZG;1711;Zug;Räbmatt;32;6317;0;Oberwil b. Zug;2681067.614;1221238.06;de
319554;0;ZG;1711;Zug;Räbmatt;34;6317;0;Oberwil b. Zug;2681069.743;1221209.798;de
319555;0;ZG;1711;Zug;Räbmatt;37;6317;0;Oberwil b. Zug;2681091.48;1221207.734;de
319556;0;ZG;1711;Zug;Räbmatt;37a;6317;0;Oberwil b. Zug;2681108.268;1221204.964;de
319557;0;ZG;1711;Zug;Räbmatt;37b;6317;0;Oberwil b. Zug;2681093.393;1221173.911;de
319559;0;ZG;1711;Zug;Räbmatt;41;6317;0;Oberwil b. Zug;2681073.356;1221124.95;de
319560;0;ZG;1711;Zug;Räbmatt;15;6317;0;Oberwil b. Zug;2681030.608;1221390.685;de
319561;0;ZG;1711;Zug;Räbmatt;14b;6317;0;Oberwil b. Zug;2681036.687;1221373.333;de
319562;0;ZG;1711;Zug;Räbmatt;18;6317;0;Oberwil b. Zug;2681050.566;1221326.326;de
319563;0;ZG;1711;Zug;Räbmatt;16;6317;0;Oberwil b. Zug;2681045.357;1221346.447;de
319564;0;ZG;1711;Zug;Räbmatt;20;6317;0;Oberwil b. Zug;2681055.654;1221305.38;de
319565;0;ZG;1711;Zug;Räbmatt;11;6317;0;Oberwil b. Zug;2680976.996;1221449.491;de
319566;0;ZG;1711;Zug;Räbmatt;9;6317;0;Oberwil b. Zug;2680972.632;1221413.536;de
319567;0;ZG;1711;Zug;Räbmatt;3;6317;0;Oberwil b. Zug;2680937.31;1221391.449;de
319568;0;ZG;1711;Zug;Räbmatt;2a;6317;0;Oberwil b. Zug;2680977.644;1221350.702;de
319569;0;ZG;1711;Zug;Räbmatt;4;6317;0;Oberwil b. Zug;2680999.669;1221296.571;de
319570;0;ZG;1711;Zug;Räbmatt;6;6317;0;Oberwil b. Zug;2681007.949;1221268.225;de
319572;0;ZG;1711;Zug;Räbmatt;10;6317;0;Oberwil b. Zug;2681028.761;1221213.045;de
319573;0;ZG;1711;Zug;Artherstrasse;182;6317;0;Oberwil b. Zug;2680881.482;1221395.394;de
319574;0;ZG;1711;Zug;Steinibachstrasse;1;6317;0;Oberwil b. Zug;2681007.63;1221170.481;de
319575;0;ZG;1711;Zug;Steinibachstrasse;3;6317;0;Oberwil b. Zug;2681030.375;1221164.591;de
319576;0;ZG;1711;Zug;Steinibachstrasse;5;6317;0;Oberwil b. Zug;2681006.276;1221157.455;de
319577;0;ZG;1711;Zug;Steinibachstrasse;7;6317;0;Oberwil b. Zug;2681012.519;1221126.126;de
319579;0;ZG;1711;Zug;Steinibachstrasse;18;6317;0;Oberwil b. Zug;2680928.328;1220999.231;de
319580;0;ZG;1711;Zug;Artherstrasse;193;6317;0;Oberwil b. Zug;2680626.541;1220507.007;de
319581;0;ZG;1711;Zug;Artherstrasse;194;6317;0;Oberwil b. Zug;2680572.065;1220493.334;de
319582;0;ZG;1711;Zug;Artherstrasse;196;6317;0;Oberwil b. Zug;2680538.795;1220466.407;de
319584;0;ZG;1711;Zug;Artherstrasse;200;6317;0;Oberwil b. Zug;2680512.058;1220441.198;de
319585;0;ZG;1711;Zug;Artherstrasse;204;6317;0;Oberwil b. Zug;2680480.836;1220381.176;de
319586;0;ZG;1711;Zug;Artherstrasse;231;6317;0;Oberwil b. Zug;2680243.999;1219736.072;de
319587;0;ZG;1711;Zug;Lotenbach;1;6318;0;Walchwil;2680542.798;1218825.924;de
319588;0;ZG;1711;Zug;Lotenbach;3;6318;0;Walchwil;2680564.061;1218796.085;de
319589;0;ZG;1711;Zug;Lotenbach;5;6318;0;Walchwil;2680571.971;1218773.473;de
319590;0;ZG;1711;Zug;Lotenbach;7;6318;0;Walchwil;2680582.297;1218753.59;de
319592;0;ZG;1711;Zug;Lotenbach;2;6318;0;Walchwil;2680535.748;1218793.596;de
319593;0;ZG;1711;Zug;Artherstrasse;210;6317;0;Oberwil b. Zug;2680415.365;1220228.616;de
319595;0;ZG;1711;Zug;Artherstrasse;212;6317;0;Oberwil b. Zug;2680406.407;1220202.577;de
319597;0;ZG;1711;Zug;Artherstrasse;129;6317;0;Oberwil b. Zug;2680963.937;1222270.685;de
319598;0;ZG;1711;Zug;Artherstrasse;131;6317;0;Oberwil b. Zug;2680987.396;1222243.46;de
319599;0;ZG;1711;Zug;Artherstrasse;135;6317;0;Oberwil b. Zug;2680969.687;1222226.18;de
319601;0;ZG;1711;Zug;Artherstrasse;137b;6317;0;Oberwil b. Zug;2680983.921;1222211.158;de
319602;0;ZG;1711;Zug;Artherstrasse;137a;6317;0;Oberwil b. Zug;2680964.64;1222210.791;de
319603;0;ZG;1711;Zug;Artherstrasse;139;6317;0;Oberwil b. Zug;2680950.748;1222196.595;de
319604;0;ZG;1711;Zug;Artherstrasse;147;6317;0;Oberwil b. Zug;2680953.45;1222135.487;de
319607;0;ZG;1711;Zug;Artherstrasse;155;6317;0;Oberwil b. Zug;2680965.708;1221975.473;de
319608;0;ZG;1711;Zug;Artherstrasse;157;6317;0;Oberwil b. Zug;2680966.126;1221962.951;de
319609;0;ZG;1711;Zug;Artherstrasse;159;6317;0;Oberwil b. Zug;2680966.486;1221949.597;de
319610;0;ZG;1711;Zug;Artherstrasse;161;6317;0;Oberwil b. Zug;2680966.874;1221936.213;de
319612;0;ZG;1711;Zug;Artherstrasse;165a;6317;0;Oberwil b. Zug;2680962.86;1221879.038;de
319613;0;ZG;1711;Zug;Artherstrasse;165b;6317;0;Oberwil b. Zug;2680961.591;1221861.366;de
319614;0;ZG;1711;Zug;Artherstrasse;167a;6317;0;Oberwil b. Zug;2680990.026;1221877.519;de
319615;0;ZG;1711;Zug;Artherstrasse;167b;6317;0;Oberwil b. Zug;2680989.8;1221871.52;de
319616;0;ZG;1711;Zug;Artherstrasse;167c;6317;0;Oberwil b. Zug;2680989.585;1221865.713;de
319617;0;ZG;1711;Zug;Artherstrasse;167d;6317;0;Oberwil b. Zug;2680989.387;1221860.267;de
319618;0;ZG;1711;Zug;Trubikon;1;6317;0;Oberwil b. Zug;2680901.276;1221542.337;de
319619;0;ZG;1711;Zug;Trubikon;2;6317;0;Oberwil b. Zug;2680899.191;1221472.419;de
319620;0;ZG;1711;Zug;Spielhof;6a;6317;0;Oberwil b. Zug;2680985.89;1222190.982;de
319621;0;ZG;1711;Zug;Spielhof;12;6317;0;Oberwil b. Zug;2680978.536;1222161.873;de
319622;0;ZG;1711;Zug;Artherstrasse;126;6317;0;Oberwil b. Zug;2680939.874;1222323.309;de
319624;0;ZG;1711;Zug;Artherstrasse;130;6317;0;Oberwil b. Zug;2680953.818;1222302.196;de
319625;0;ZG;1711;Zug;Artherstrasse;132;6317;0;Oberwil b. Zug;2680936.348;1222304.999;de
319626;0;ZG;1711;Zug;Artherstrasse;136;6317;0;Oberwil b. Zug;2680940.652;1222255.244;de
319628;0;ZG;1711;Zug;Widenstrasse;4;6317;0;Oberwil b. Zug;2681033.917;1222284.269;de
319629;0;ZG;1711;Zug;Widenstrasse;6;6317;0;Oberwil b. Zug;2681069.816;1222261.933;de
319630;0;ZG;1711;Zug;Widenstrasse;8;6317;0;Oberwil b. Zug;2681090.91;1222246.987;de
319631;0;ZG;1711;Zug;Spielhof;1;6317;0;Oberwil b. Zug;2681044.798;1222222.328;de
319632;0;ZG;1711;Zug;Spielhof;4;6317;0;Oberwil b. Zug;2681017.051;1222209.702;de
319633;0;ZG;1711;Zug;Spielhof;6;6317;0;Oberwil b. Zug;2681011.511;1222182.416;de
319634;0;ZG;1711;Zug;Leimatt;a;6317;0;Oberwil b. Zug;2681189.9;1221880.693;de
319635;0;ZG;1711;Zug;Leimatt;b;6317;0;Oberwil b. Zug;2681183.624;1221818.85;de
319636;0;ZG;1711;Zug;Widenstrasse;25;6317;0;Oberwil b. Zug;2681177.76;1222118.685;de
319637;0;ZG;1711;Zug;Widenstrasse;29;6317;0;Oberwil b. Zug;2681176.322;1222073.511;de
319638;0;ZG;1711;Zug;Widenstrasse;31a;6317;0;Oberwil b. Zug;2681210.499;1222061.522;de
319639;0;ZG;1711;Zug;Widenstrasse;31;6317;0;Oberwil b. Zug;2681187.532;1222055.256;de
319640;0;ZG;1711;Zug;Widenstrasse;33;6317;0;Oberwil b. Zug;2681204.455;1222040.311;de
319641;0;ZG;1711;Zug;Widenstrasse;35;6317;0;Oberwil b. Zug;2681232.356;1222017.174;de
319642;0;ZG;1711;Zug;Widenstrasse;37;6317;0;Oberwil b. Zug;2681238.399;1221997.892;de
319643;0;ZG;1711;Zug;Widenstrasse;43;6317;0;Oberwil b. Zug;2681302.821;1221971.917;de
319644;0;ZG;1711;Zug;Widenstrasse;41;6317;0;Oberwil b. Zug;2681286.698;1221980.862;de
319645;0;ZG;1711;Zug;Widenstrasse;45;6317;0;Oberwil b. Zug;2681322.149;1221950.535;de
319646;0;ZG;1711;Zug;Widenstrasse;34;6317;0;Oberwil b. Zug;2681288.183;1221946.506;de
319647;0;ZG;1711;Zug;Widenstrasse;32;6317;0;Oberwil b. Zug;2681252.458;1221961.735;de
319648;0;ZG;1711;Zug;Widenstrasse;30;6317;0;Oberwil b. Zug;2681244.167;1221936.467;de
319649;0;ZG;1711;Zug;Leimatt;1;6317;0;Oberwil b. Zug;2681215.747;1221970.089;de
319650;0;ZG;1711;Zug;Leimatt;3;6317;0;Oberwil b. Zug;2681204.934;1221937.217;de
319651;0;ZG;1711;Zug;Leimatt;5;6317;0;Oberwil b. Zug;2681205.494;1221919.765;de
319652;0;ZG;1711;Zug;Widenstrasse;27;6317;0;Oberwil b. Zug;2681181.819;1222106.705;de
319653;0;ZG;1711;Zug;Widenstrasse;36;6317;0;Oberwil b. Zug;2681323.483;1221908.545;de
319654;0;ZG;1711;Zug;Widenstrasse;36a;6317;0;Oberwil b. Zug;2681287.081;1221870.366;de
319655;0;ZG;1711;Zug;Widenstrasse;38;6317;0;Oberwil b. Zug;2681354.871;1221883.004;de
319656;0;ZG;1711;Zug;Widenstrasse;40;6317;0;Oberwil b. Zug;2681376.479;1221868.621;de
319657;0;ZG;1711;Zug;Widenstrasse;54;6317;0;Oberwil b. Zug;2681482.669;1221840.399;de
319658;0;ZG;1711;Zug;Widenstrasse;47;6317;0;Oberwil b. Zug;2681334.931;1221929.639;de
319659;0;ZG;1711;Zug;Widenstrasse;49;6317;0;Oberwil b. Zug;2681370.802;1221898.901;de
