EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
315321;0;ZG;1706;Oberägeri;Hauptstrasse;23;6315;0;Oberägeri;2688944.468;1221150.286;de
315322;0;ZG;1706;Oberägeri;Hauptstrasse;25;6315;0;Oberägeri;2688935.831;1221141.556;de
315324;0;ZG;1706;Oberägeri;Hauptstrasse;31;6315;0;Oberägeri;2688906.186;1221156.927;de
315325;0;ZG;1706;Oberägeri;Hauptstrasse;33;6315;0;Oberägeri;2688889.499;1221160.793;de
315326;0;ZG;1706;Oberägeri;Hauptstrasse;35;6315;0;Oberägeri;2688862.433;1221168.679;de
315329;0;ZG;1706;Oberägeri;Seestrasse;21;6315;0;Oberägeri;2688696.366;1221162.587;de
315332;0;ZG;1706;Oberägeri;Riedweg;4;6315;0;Oberägeri;2688889.584;1221073.032;de
315333;0;ZG;1706;Oberägeri;Seestrasse;1;6315;0;Oberägeri;2688973.694;1221129.614;de
315334;0;ZG;1706;Oberägeri;Seestrasse;3;6315;0;Oberägeri;2688956.526;1221121.514;de
315335;0;ZG;1706;Oberägeri;Seestrasse;5;6315;0;Oberägeri;2688837.347;1221054.686;de
315336;0;ZG;1706;Oberägeri;Seestrasse;6;6315;0;Oberägeri;2688913.867;1221113.94;de
315341;0;ZG;1706;Oberägeri;Seestrasse;24;6315;0;Oberägeri;2688724.602;1221198.061;de
315343;0;ZG;1706;Oberägeri;Silbergasse;2b;6315;0;Oberägeri;2688839.502;1221132.323;de
315344;0;ZG;1706;Oberägeri;Silbergasse;3;6315;0;Oberägeri;2688868.131;1221143.852;de
315345;0;ZG;1706;Oberägeri;Silbergasse;4b;6315;0;Oberägeri;2688825.346;1221119.941;de
315346;0;ZG;1706;Oberägeri;Silbergasse;5;6315;0;Oberägeri;2688857.753;1221126.352;de
315347;0;ZG;1706;Oberägeri;Silbergasse;6b;6315;0;Oberägeri;2688818.18;1221108.365;de
315348;0;ZG;1706;Oberägeri;Silbergasse;6c;6315;0;Oberägeri;2688816.884;1221103.763;de
315349;0;ZG;1706;Oberägeri;Silbergasse;6a;6315;0;Oberägeri;2688820.97;1221112.306;de
315350;0;ZG;1706;Oberägeri;Silbergasse;9;6315;0;Oberägeri;2688815.58;1221088.298;de
315352;0;ZG;1706;Oberägeri;Hauptstrasse;21;6315;0;Oberägeri;2688956.091;1221146.604;de
315353;0;ZG;1706;Oberägeri;Silbergasse;4a;6315;0;Oberägeri;2688830.652;1221125.622;de
315354;0;ZG;1706;Oberägeri;Silbergasse;2a;6315;0;Oberägeri;2688844.78;1221137.461;de
315355;0;ZG;1706;Oberägeri;Bachweg;1a;6315;0;Oberägeri;2689055.771;1221106.683;de
315356;0;ZG;1706;Oberägeri;Bachweg;2;6315;0;Oberägeri;2689041.204;1221107.382;de
315357;0;ZG;1706;Oberägeri;Bachweg;3;6315;0;Oberägeri;2689095.792;1221084.59;de
315358;0;ZG;1706;Oberägeri;Bachweg;4;6315;0;Oberägeri;2689126.114;1221081.945;de
315359;0;ZG;1706;Oberägeri;Bachweg;5;6315;0;Oberägeri;2689125.248;1221089.372;de
315360;0;ZG;1706;Oberägeri;Bachweg;7;6315;0;Oberägeri;2689164.15;1221121.742;de
315361;0;ZG;1706;Oberägeri;Bachweg;15;6315;0;Oberägeri;2689234.668;1221205.899;de
315362;0;ZG;1706;Oberägeri;Bachweg;17;6315;0;Oberägeri;2689249.423;1221217.958;de
315363;0;ZG;1706;Oberägeri;Bachweg;24;6315;0;Oberägeri;2689226.241;1221329.079;de
315364;0;ZG;1706;Oberägeri;Bachweg;25;6315;0;Oberägeri;2689208.181;1221326.13;de
315365;0;ZG;1706;Oberägeri;Hauptstrasse;1;6315;0;Oberägeri;2689207.561;1221035.295;de
315366;0;ZG;1706;Oberägeri;Hauptstrasse;3;6315;0;Oberägeri;2689178.716;1221039.666;de
