EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
316942;0;ZG;1708;Steinhausen;Weid;3;6312;0;Steinhausen;2679791.01;1228547.87;de
316944;0;ZG;1708;Steinhausen;Bann;10;6312;0;Steinhausen;2679426.81;1228811.632;de
316945;0;ZG;1708;Steinhausen;Marchstein;1;6312;0;Steinhausen;2679173.572;1229100.995;de
316946;0;ZG;1708;Steinhausen;Marchstein;2;6312;0;Steinhausen;2679146.36;1229097.287;de
316947;0;ZG;1708;Steinhausen;Chopfweid;1;6330;0;Cham;2678676.509;1228888.932;de
316948;0;ZG;1708;Steinhausen;Bann;13;6312;0;Steinhausen;2679366.799;1228808.58;de
316949;0;ZG;1708;Steinhausen;Bann;15;6312;0;Steinhausen;2679344.824;1228817.005;de
316951;0;ZG;1708;Steinhausen;Bann;25;6312;0;Steinhausen;2679413.064;1228969.972;de
316953;0;ZG;1708;Steinhausen;Bann;21;6312;0;Steinhausen;2679384.251;1228912.783;de
316954;0;ZG;1708;Steinhausen;Bann;23;6312;0;Steinhausen;2679369.722;1228919.865;de
316955;0;ZG;1708;Steinhausen;Bann;1;6312;0;Steinhausen;2679393.183;1228717.257;de
316957;0;ZG;1708;Steinhausen;Bann;12;6312;0;Steinhausen;2679446.287;1228817.921;de
316958;0;ZG;1708;Steinhausen;Bann;4;6312;0;Steinhausen;2679448.491;1228762.297;de
316959;0;ZG;1708;Steinhausen;Bann;6;6312;0;Steinhausen;2679425.245;1228785.06;de
316960;0;ZG;1708;Steinhausen;Bann;2;6312;0;Steinhausen;2679429.81;1228761.687;de
316961;0;ZG;1708;Steinhausen;Bann;18;6312;0;Steinhausen;2679408.06;1228878.472;de
316962;0;ZG;1708;Steinhausen;Bann;16;6312;0;Steinhausen;2679430.531;1228837.967;de
316963;0;ZG;1708;Steinhausen;Bann;8;6312;0;Steinhausen;2679442.624;1228783.122;de
316964;0;ZG;1708;Steinhausen;Bann;7;6312;0;Steinhausen;2679383.099;1228794.966;de
316965;0;ZG;1708;Steinhausen;Wald;2;6312;0;Steinhausen;2679985.535;1228489.539;de
316966;0;ZG;1708;Steinhausen;Wald;1;6312;0;Steinhausen;2679973.666;1228503.741;de
316967;0;ZG;1708;Steinhausen;Wald;4;6312;0;Steinhausen;2680035.623;1228586.958;de
316968;0;ZG;1708;Steinhausen;Erli;2;6312;0;Steinhausen;2678808.084;1228456.999;de
316969;0;ZG;1708;Steinhausen;Erli;3;6312;0;Steinhausen;2678824.053;1228460.762;de
316970;0;ZG;1708;Steinhausen;Erli;4;6312;0;Steinhausen;2678787.751;1228464.587;de
316972;0;ZG;1708;Steinhausen;Erlistrasse;2;6312;0;Steinhausen;2678904.224;1228231.171;de
316973;0;ZG;1708;Steinhausen;Erlistrasse;2a;6312;0;Steinhausen;2678919.79;1228240.024;de
316974;0;ZG;1708;Steinhausen;Erlistrasse;4;6312;0;Steinhausen;2678889.995;1228256.421;de
316975;0;ZG;1708;Steinhausen;Erlistrasse;4a;6312;0;Steinhausen;2678907.638;1228269.758;de
316976;0;ZG;1708;Steinhausen;Erlistrasse;4b;6312;0;Steinhausen;2678932.387;1228277.672;de
316977;0;ZG;1708;Steinhausen;Erlistrasse;6b;6312;0;Steinhausen;2678922.069;1228295.202;de
316979;0;ZG;1708;Steinhausen;Grabenackerstrasse;3;6312;0;Steinhausen;2678736.095;1228113.466;de
316980;0;ZG;1708;Steinhausen;Grabenackerstrasse;5;6312;0;Steinhausen;2678739.921;1228115.745;de
316981;0;ZG;1708;Steinhausen;Grabenackerstrasse;7;6312;0;Steinhausen;2678742.083;1228145.976;de
316983;0;ZG;1708;Steinhausen;Grabenackerstrasse;11;6312;0;Steinhausen;2678752.16;1228196.476;de
316984;0;ZG;1708;Steinhausen;Grabenackerstrasse;13;6312;0;Steinhausen;2678761.68;1228159.567;de
316985;0;ZG;1708;Steinhausen;Grabenackerstrasse;15;6312;0;Steinhausen;2678787.51;1228169.379;de
316986;0;ZG;1708;Steinhausen;Grabenackerstrasse;21;6312;0;Steinhausen;2678863.992;1228208.705;de
316987;0;ZG;1708;Steinhausen;Grabenackerstrasse;27;6312;0;Steinhausen;2678950.224;1228244.879;de
316988;0;ZG;1708;Steinhausen;Gütschstrasse;2;6312;0;Steinhausen;2678701.358;1228104.817;de
316989;0;ZG;1708;Steinhausen;Gütschstrasse;2a;6312;0;Steinhausen;2678690.458;1228111.574;de
316990;0;ZG;1708;Steinhausen;Gütschstrasse;3;6312;0;Steinhausen;2678684.892;1228128.85;de
316991;0;ZG;1708;Steinhausen;Gütschstrasse;3a;6312;0;Steinhausen;2678677.67;1228136.497;de
316992;0;ZG;1708;Steinhausen;Gütschstrasse;4;6312;0;Steinhausen;2678656.407;1228166.664;de
316993;0;ZG;1708;Steinhausen;Gütschstrasse;5;6312;0;Steinhausen;2678682.08;1228160.451;de
316994;0;ZG;1708;Steinhausen;Gütschstrasse;6;6312;0;Steinhausen;2678710.762;1228170.525;de
316995;0;ZG;1708;Steinhausen;Gütschstrasse;7;6312;0;Steinhausen;2678705.73;1228146.872;de
316996;0;ZG;1708;Steinhausen;Gütschstrasse;8;6312;0;Steinhausen;2678713.312;1228147.52;de
316997;0;ZG;1708;Steinhausen;Lätten;2;6312;0;Steinhausen;2678544.342;1228033.555;de
316998;0;ZG;1708;Steinhausen;Lätten;1;6312;0;Steinhausen;2678548.564;1228005.593;de
316999;0;ZG;1708;Steinhausen;Knonauerstrasse;31;6312;0;Steinhausen;2678646.395;1228092.447;de
317000;0;ZG;1708;Steinhausen;Knonauerstrasse;29;6312;0;Steinhausen;2678671.02;1228077.496;de
317001;0;ZG;1708;Steinhausen;Knonauerstrasse;27;6312;0;Steinhausen;2678697.382;1228059.419;de
317003;0;ZG;1708;Steinhausen;Bann;11;6312;0;Steinhausen;2679388.166;1228828.726;de
317004;0;ZG;1708;Steinhausen;Rebenstrasse;1;6312;0;Steinhausen;2679246.366;1228345.123;de
317005;0;ZG;1708;Steinhausen;Rebenstrasse;3;6312;0;Steinhausen;2679232.652;1228343.328;de
317007;0;ZG;1708;Steinhausen;Rebenstrasse;5;6312;0;Steinhausen;2679204.023;1228391.368;de
317008;0;ZG;1708;Steinhausen;Rebenstrasse;4;6312;0;Steinhausen;2679222.033;1228414.16;de
317009;0;ZG;1708;Steinhausen;Rebenstrasse;6;6312;0;Steinhausen;2679216.447;1228422.744;de
317010;0;ZG;1708;Steinhausen;Rebenstrasse;8;6312;0;Steinhausen;2679197.43;1228455.789;de
317011;0;ZG;1708;Steinhausen;Rebenstrasse;9;6312;0;Steinhausen;2679172.463;1228434.425;de
317012;0;ZG;1708;Steinhausen;Rebenstrasse;10;6312;0;Steinhausen;2679186.566;1228476.363;de
317013;0;ZG;1708;Steinhausen;Rebenstrasse;11;6312;0;Steinhausen;2679156.469;1228466.17;de
317014;0;ZG;1708;Steinhausen;Rebenstrasse;12;6312;0;Steinhausen;2679168.034;1228520.05;de
317015;0;ZG;1708;Steinhausen;Rebenstrasse;13;6312;0;Steinhausen;2679138.275;1228492.97;de
317016;0;ZG;1708;Steinhausen;Ruchlistrasse;17;6312;0;Steinhausen;2679257.214;1228377.511;de
317017;0;ZG;1708;Steinhausen;Ruchlistrasse;19;6312;0;Steinhausen;2679252.086;1228382.853;de
317018;0;ZG;1708;Steinhausen;Ruchlistrasse;21;6312;0;Steinhausen;2679247.17;1228390.972;de
317020;0;ZG;1708;Steinhausen;Ruchlistrasse;24;6312;0;Steinhausen;2679267.216;1228456.321;de
317021;0;ZG;1708;Steinhausen;Bannstrasse;38a;6312;0;Steinhausen;2679511.327;1228349.54;de
317022;0;ZG;1708;Steinhausen;Bannstrasse;40;6312;0;Steinhausen;2679487.262;1228377.725;de
317023;0;ZG;1708;Steinhausen;Bannstrasse;40a;6312;0;Steinhausen;2679520.129;1228383.22;de
317024;0;ZG;1708;Steinhausen;Bannstrasse;38;6312;0;Steinhausen;2679491.456;1228337.571;de
317025;0;ZG;1708;Steinhausen;Bannstrasse;36;6312;0;Steinhausen;2679511.348;1228311.439;de
317026;0;ZG;1708;Steinhausen;Bannstrasse;35;6312;0;Steinhausen;2679462.349;1228270.392;de
317027;0;ZG;1708;Steinhausen;Bannstrasse;33;6312;0;Steinhausen;2679452.986;1228251.366;de
317028;0;ZG;1708;Steinhausen;Bannstrasse;31;6312;0;Steinhausen;2679442.685;1228221.054;de
317029;0;ZG;1708;Steinhausen;Bannstrasse;34;6312;0;Steinhausen;2679491.163;1228284.936;de
317031;0;ZG;1708;Steinhausen;Bannstrasse;27;6312;0;Steinhausen;2679403.265;1228190.347;de
317032;0;ZG;1708;Steinhausen;Bannstrasse;29;6312;0;Steinhausen;2679417.402;1228215.29;de
317033;0;ZG;1708;Steinhausen;Bannstrasse;27b;6312;0;Steinhausen;2679381.825;1228243.279;de
317034;0;ZG;1708;Steinhausen;Bannstrasse;25;6312;0;Steinhausen;2679374.344;1228192.913;de
317035;0;ZG;1708;Steinhausen;Bannstrasse;27a;6312;0;Steinhausen;2679393.471;1228211.565;de
317036;0;ZG;1708;Steinhausen;Freudenbergstrasse;1;6312;0;Steinhausen;2679456.922;1228304.573;de
317037;0;ZG;1708;Steinhausen;Freudenbergstrasse;2;6312;0;Steinhausen;2679454.964;1228338.276;de
317038;0;ZG;1708;Steinhausen;Freudenbergstrasse;3;6312;0;Steinhausen;2679441.425;1228306.298;de
317039;0;ZG;1708;Steinhausen;Freudenbergstrasse;5;6312;0;Steinhausen;2679434.799;1228308.616;de
317040;0;ZG;1708;Steinhausen;Freudenbergstrasse;5a;6312;0;Steinhausen;2679435.546;1228281.837;de
317041;0;ZG;1708;Steinhausen;Freudenbergstrasse;6;6312;0;Steinhausen;2679431.461;1228342.713;de
317042;0;ZG;1708;Steinhausen;Freudenbergstrasse;7;6312;0;Steinhausen;2679410.963;1228311.416;de
317043;0;ZG;1708;Steinhausen;Freudenbergstrasse;7a;6312;0;Steinhausen;2679409.494;1228283.247;de
317044;0;ZG;1708;Steinhausen;Freudenbergstrasse;8;6312;0;Steinhausen;2679400.831;1228338.656;de
317047;0;ZG;1708;Steinhausen;Freudenbergstrasse;8a;6312;0;Steinhausen;2679399.457;1228363.076;de
317048;0;ZG;1708;Steinhausen;Freudenbergstrasse;9;6312;0;Steinhausen;2679391.546;1228311.947;de
317049;0;ZG;1708;Steinhausen;Freudenberg;1;6312;0;Steinhausen;2679334.781;1228280.002;de
317050;0;ZG;1708;Steinhausen;Freudenbergstrasse;10a;6312;0;Steinhausen;2679372.308;1228376.489;de
317051;0;ZG;1708;Steinhausen;Freudenbergstrasse;12;6312;0;Steinhausen;2679330.858;1228373.664;de
317052;0;ZG;1708;Steinhausen;Obstweg;2;6312;0;Steinhausen;2679466.028;1228384.611;de
317053;0;ZG;1708;Steinhausen;Obstweg;1;6312;0;Steinhausen;2679450.033;1228361.503;de
317054;0;ZG;1708;Steinhausen;Obstweg;4;6312;0;Steinhausen;2679433.905;1228388.721;de
317055;0;ZG;1708;Steinhausen;Obstweg;3;6312;0;Steinhausen;2679433.141;1228369.219;de
317056;0;ZG;1708;Steinhausen;Obstweg;14;6312;0;Steinhausen;2679339.909;1228411.208;de
317057;0;ZG;1708;Steinhausen;Obstweg;12;6312;0;Steinhausen;2679368.594;1228393.196;de
317058;0;ZG;1708;Steinhausen;Obstweg;10;6312;0;Steinhausen;2679393.801;1228397.534;de
317059;0;ZG;1708;Steinhausen;Obstweg;8;6312;0;Steinhausen;2679396.245;1228397.198;de
317060;0;ZG;1708;Steinhausen;Obstweg;6;6312;0;Steinhausen;2679431.397;1228390.21;de
317061;0;ZG;1708;Steinhausen;Zürcherhofstrasse;1;6312;0;Steinhausen;2679487.428;1228243.226;de
317062;0;ZG;1708;Steinhausen;Zürcherhofstrasse;4;6312;0;Steinhausen;2679514.141;1228216.107;de
317063;0;ZG;1708;Steinhausen;Zürcherhofstrasse;5;6312;0;Steinhausen;2679596.076;1228241.655;de
317064;0;ZG;1708;Steinhausen;Zürcherhofstrasse;6;6312;0;Steinhausen;2679545.873;1228219.822;de
317065;0;ZG;1708;Steinhausen;Zürcherhofstrasse;2;6312;0;Steinhausen;2679470.384;1228216.923;de
317066;0;ZG;1708;Steinhausen;Zürcherhofstrasse;18;6312;0;Steinhausen;2679777.738;1228179.953;de
317067;0;ZG;1708;Steinhausen;Weidstrasse;1;6312;0;Steinhausen;2679543.264;1228244.503;de
317068;0;ZG;1708;Steinhausen;Weidstrasse;2;6312;0;Steinhausen;2679575.882;1228251.625;de
317069;0;ZG;1708;Steinhausen;Weidstrasse;3;6312;0;Steinhausen;2679516.76;1228279.921;de
317070;0;ZG;1708;Steinhausen;Weidstrasse;4;6312;0;Steinhausen;2679571.504;1228279.399;de
317071;0;ZG;1708;Steinhausen;Weidstrasse;5;6312;0;Steinhausen;2679552.223;1228287.59;de
317072;0;ZG;1708;Steinhausen;Zürcherhofstrasse;16;6312;0;Steinhausen;2679708.032;1228178.599;de
317073;0;ZG;1708;Steinhausen;Bannstrasse;38b;6312;0;Steinhausen;2679521.146;1228352.135;de
317074;0;ZG;1708;Steinhausen;Grabenackerstrasse;41;6312;0;Steinhausen;2679136.936;1228404.005;de
317075;0;ZG;1708;Steinhausen;Grabenackerstrasse;53;6312;0;Steinhausen;2679146.142;1228304.218;de
317076;0;ZG;1708;Steinhausen;Grabenackerstrasse;61;6312;0;Steinhausen;2679192.002;1228238.07;de
317077;0;ZG;1708;Steinhausen;Hasenbergstrasse;43;6312;0;Steinhausen;2679279.219;1228167.688;de
317079;0;ZG;1708;Steinhausen;Wiesenweg;5;6312;0;Steinhausen;2679230.895;1228229.638;de
317080;0;ZG;1708;Steinhausen;Wiesenweg;6;6312;0;Steinhausen;2679246.121;1228242.534;de
317081;0;ZG;1708;Steinhausen;Wiesenweg;7;6312;0;Steinhausen;2679229.694;1228251.584;de
317082;0;ZG;1708;Steinhausen;Ruchlistrasse;1;6312;0;Steinhausen;2679303.15;1228175.236;de
317083;0;ZG;1708;Steinhausen;Ruchlistrasse;3;6312;0;Steinhausen;2679271.895;1228216.109;de
317084;0;ZG;1708;Steinhausen;Ruchlistrasse;7;6312;0;Steinhausen;2679260.189;1228257.693;de
317085;0;ZG;1708;Steinhausen;Ruchlistrasse;8;6312;0;Steinhausen;2679300.41;1228217.854;de
317086;0;ZG;1708;Steinhausen;Ruchlistrasse;9;6312;0;Steinhausen;2679257.185;1228274.563;de
317087;0;ZG;1708;Steinhausen;Ruchlistrasse;10;6312;0;Steinhausen;2679288.62;1228251.139;de
317088;0;ZG;1708;Steinhausen;Ruchlistrasse;11;6312;0;Steinhausen;2679255.964;1228295.556;de
317089;0;ZG;1708;Steinhausen;Ruchlistrasse;12;6312;0;Steinhausen;2679280.361;1228284.246;de
317090;0;ZG;1708;Steinhausen;Ruchlistrasse;13;6312;0;Steinhausen;2679215.074;1228295.855;de
317091;0;ZG;1708;Steinhausen;Ruchlistrasse;14;6312;0;Steinhausen;2679280.619;1228313.177;de
317092;0;ZG;1708;Steinhausen;Ruchlistrasse;15;6312;0;Steinhausen;2679195.825;1228298.659;de
317093;0;ZG;1708;Steinhausen;Ruchlistrasse;16;6312;0;Steinhausen;2679285.44;1228336.398;de
317095;0;ZG;1708;Steinhausen;Grabenackerstrasse;65;6312;0;Steinhausen;2679201.715;1228182.879;de
317096;0;ZG;1708;Steinhausen;Grabenackerstrasse;43;6312;0;Steinhausen;2679145.327;1228382.794;de
317097;0;ZG;1708;Steinhausen;Grabenackerstrasse;45;6312;0;Steinhausen;2679150.011;1228373.094;de
317098;0;ZG;1708;Steinhausen;Grabenackerstrasse;51;6312;0;Steinhausen;2679173.526;1228322.063;de
317099;0;ZG;1708;Steinhausen;Grabenackerstrasse;55;6312;0;Steinhausen;2679156.53;1228282.668;de
317100;0;ZG;1708;Steinhausen;Grabenackerstrasse;63;6312;0;Steinhausen;2679202.309;1228216.794;de
317101;0;ZG;1708;Steinhausen;Grabenackerstrasse;57;6312;0;Steinhausen;2679160.196;1228273.908;de
317102;0;ZG;1708;Steinhausen;Grabenackerstrasse;59;6312;0;Steinhausen;2679170.701;1228252.452;de
317103;0;ZG;1708;Steinhausen;Grabenackerstrasse;40;6312;0;Steinhausen;2679054.357;1228221.142;de
317104;0;ZG;1708;Steinhausen;Grabenackerstrasse;42;6312;0;Steinhausen;2679046.931;1228199.677;de
317105;0;ZG;1708;Steinhausen;Grabenackerstrasse;44;6312;0;Steinhausen;2679062.851;1228170.432;de
317106;0;ZG;1708;Steinhausen;Grabenackerstrasse;46;6312;0;Steinhausen;2679114.773;1228232.911;de
317107;0;ZG;1708;Steinhausen;Grabenackerstrasse;48;6312;0;Steinhausen;2679125.946;1228204.667;de
317108;0;ZG;1708;Steinhausen;Grabenackerstrasse;50;6312;0;Steinhausen;2679117.006;1228185.147;de
