EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
317657;0;ZG;1709;Unterägeri;Sprungweg;4;6314;0;Unterägeri;2685778.96;1221355.95;de
317658;0;ZG;1709;Unterägeri;Weststrasse;65;6314;0;Unterägeri;2685814.755;1221400.101;de
317659;0;ZG;1709;Unterägeri;Weststrasse;67;6314;0;Unterägeri;2685793.486;1221391.069;de
317660;0;ZG;1709;Unterägeri;Weststrasse;69;6314;0;Unterägeri;2685754.439;1221378.621;de
317661;0;ZG;1709;Unterägeri;Weststrasse;70;6314;0;Unterägeri;2685769.089;1221412.037;de
317662;0;ZG;1709;Unterägeri;Weststrasse;71;6314;0;Unterägeri;2685752.642;1221400.63;de
317663;0;ZG;1709;Unterägeri;Weststrasse;72;6314;0;Unterägeri;2685755.657;1221429.63;de
317664;0;ZG;1709;Unterägeri;Weststrasse;73;6314;0;Unterägeri;2685741.92;1221420.294;de
317665;0;ZG;1709;Unterägeri;Weststrasse;75;6314;0;Unterägeri;2685732.705;1221436.021;de
317666;0;ZG;1709;Unterägeri;Weststrasse;74;6314;0;Unterägeri;2685743.854;1221450.539;de
317667;0;ZG;1709;Unterägeri;Weststrasse;76;6314;0;Unterägeri;2685733.831;1221474.653;de
317668;0;ZG;1709;Unterägeri;Weststrasse;87;6314;0;Unterägeri;2685802.56;1221422.68;de
317669;0;ZG;1709;Unterägeri;Weststrasse;89;6314;0;Unterägeri;2685786.627;1221446.857;de
317670;0;ZG;1709;Unterägeri;Weststrasse;91;6314;0;Unterägeri;2685774.704;1221469.213;de
317671;0;ZG;1709;Unterägeri;Weststrasse;94;6314;0;Unterägeri;2685763.405;1221545.801;de
317672;0;ZG;1709;Unterägeri;Rigistrasse;1;6314;0;Unterägeri;2685726.818;1221566.553;de
317673;0;ZG;1709;Unterägeri;Rigistrasse;3;6314;0;Unterägeri;2685732.997;1221590.275;de
317674;0;ZG;1709;Unterägeri;Rigistrasse;5;6314;0;Unterägeri;2685729.756;1221617.074;de
317675;0;ZG;1709;Unterägeri;Rigistrasse;7;6314;0;Unterägeri;2685727.729;1221642.263;de
317676;0;ZG;1709;Unterägeri;Rigistrasse;9;6314;0;Unterägeri;2685728.332;1221664.841;de
317677;0;ZG;1709;Unterägeri;Rigistrasse;11;6314;0;Unterägeri;2685729.273;1221700.8;de
317678;0;ZG;1709;Unterägeri;Rigistrasse;13;6314;0;Unterägeri;2685733.641;1221726.682;de
317680;0;ZG;1709;Unterägeri;Rigistrasse;19;6314;0;Unterägeri;2685725.522;1221761.628;de
317681;0;ZG;1709;Unterägeri;Rigistrasse;21;6314;0;Unterägeri;2685707.058;1221763.098;de
