EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
313357;0;ZG;1703;Hünenberg;Chamau;1;6331;0;Hünenberg;2673428.251;1228617.924;de
313359;0;ZG;1703;Hünenberg;Chamau;7;6331;0;Hünenberg;2673667.361;1228928.676;de
313361;0;ZG;1703;Hünenberg;Chamau;15a;6331;0;Hünenberg;2673732.548;1229032.857;de
313362;0;ZG;1703;Hünenberg;Chamau;9;6331;0;Hünenberg;2673566.313;1228995.508;de
313363;0;ZG;1703;Hünenberg;Chamau;10;6331;0;Hünenberg;2673582.351;1228995.398;de
313364;0;ZG;1703;Hünenberg;Chamau;14a;6331;0;Hünenberg;2673695.148;1229043.044;de
313365;0;ZG;1703;Hünenberg;Chamau;15b;6331;0;Hünenberg;2673743.508;1229031.596;de
313366;0;ZG;1703;Hünenberg;Schachenmatt;1;6331;0;Hünenberg;2673480.303;1229483.39;de
313367;0;ZG;1703;Hünenberg;Schachenmatt;2;6331;0;Hünenberg;2673504.83;1229460.955;de
313368;0;ZG;1703;Hünenberg;Schachen;1;6331;0;Hünenberg;2673732.733;1229647.453;de
313369;0;ZG;1703;Hünenberg;Stadelmatt;1;6331;0;Hünenberg;2673704.506;1230163.888;de
313370;0;ZG;1703;Hünenberg;Stadelmatt;17;6331;0;Hünenberg;2672968.476;1230317.722;de
313371;0;ZG;1703;Hünenberg;Stadelmatt;15;6331;0;Hünenberg;2673013.12;1230401.076;de
313372;0;ZG;1703;Hünenberg;Stadelmatt;16;6331;0;Hünenberg;2673130.387;1230452.321;de
313373;0;ZG;1703;Hünenberg;Stadelmatt;11;6331;0;Hünenberg;2673130.494;1230401.416;de
313374;0;ZG;1703;Hünenberg;Stadelmatt;14;6331;0;Hünenberg;2673180.659;1230436.566;de
313375;0;ZG;1703;Hünenberg;Stadelmatt;9;6331;0;Hünenberg;2673224.439;1230360.311;de
313376;0;ZG;1703;Hünenberg;Stadelmatt;12;6331;0;Hünenberg;2673223.578;1230429.121;de
313377;0;ZG;1703;Hünenberg;Stadelmatt;10;6331;0;Hünenberg;2673336.662;1230452.764;de
313378;0;ZG;1703;Hünenberg;Stadelmatt;5;6331;0;Hünenberg;2673789.873;1230433.36;de
313379;0;ZG;1703;Hünenberg;Stadelmatt;3;6331;0;Hünenberg;2673797.138;1230410.84;de
313380;0;ZG;1703;Hünenberg;Stadelmatt;4;6331;0;Hünenberg;2673836.434;1230472.018;de
313381;0;ZG;1703;Hünenberg;Stadelmatt;2;6331;0;Hünenberg;2673828.919;1230473.092;de
313382;0;ZG;1703;Hünenberg;Stadelmatt;6;6331;0;Hünenberg;2673902.512;1230605.519;de
313383;0;ZG;1703;Hünenberg;Bützen;1;6331;0;Hünenberg;2673917.987;1230781.575;de
313384;0;ZG;1703;Hünenberg;Grünau;1;5642;0;Mühlau;2672595.933;1231229.693;de
313385;0;ZG;1703;Hünenberg;Huob;2;6332;0;Hagendorn;2674657.226;1228458.753;de
313387;0;ZG;1703;Hünenberg;Waldhaus;7;6331;0;Hünenberg;2674093.31;1228453.379;de
313388;0;ZG;1703;Hünenberg;Waldhaus;5;6331;0;Hünenberg;2674069.461;1228382.686;de
313389;0;ZG;1703;Hünenberg;Waldhaus;3;6331;0;Hünenberg;2674028.326;1228395.998;de
313391;0;ZG;1703;Hünenberg;Goldhäusern;1;6331;0;Hünenberg;2673623.266;1228270.805;de
313392;0;ZG;1703;Hünenberg;Goldhäusern;2;6331;0;Hünenberg;2673588.121;1228272.74;de
313393;0;ZG;1703;Hünenberg;Matten;17;6331;0;Hünenberg;2673790.215;1227970.139;de
313394;0;ZG;1703;Hünenberg;Matten;18;6331;0;Hünenberg;2673813.306;1227950.371;de
313395;0;ZG;1703;Hünenberg;Matten;15;6331;0;Hünenberg;2673762.367;1227896.68;de
313396;0;ZG;1703;Hünenberg;Matten;9;6331;0;Hünenberg;2673697.434;1227863.809;de
313397;0;ZG;1703;Hünenberg;Matten;7;6331;0;Hünenberg;2673642.855;1227732.824;de
313399;0;ZG;1703;Hünenberg;Matten;3;6331;0;Hünenberg;2673561.392;1227591.522;de
313400;0;ZG;1703;Hünenberg;Matten;1;6331;0;Hünenberg;2673637.299;1227534.907;de
313401;0;ZG;1703;Hünenberg;Matten;12;6331;0;Hünenberg;2673713.964;1227531.486;de
313402;0;ZG;1703;Hünenberg;Matten;14;6331;0;Hünenberg;2673777.504;1227765.631;de
313403;0;ZG;1703;Hünenberg;Matten;16;6331;0;Hünenberg;2673811.014;1227870.412;de
313404;0;ZG;1703;Hünenberg;Matten;22;6331;0;Hünenberg;2673988.089;1227703.421;de
313406;0;ZG;1703;Hünenberg;Matten;8;6331;0;Hünenberg;2673690.306;1227351.386;de
313407;0;ZG;1703;Hünenberg;Matten;6;6331;0;Hünenberg;2673718.571;1227261.581;de
313408;0;ZG;1703;Hünenberg;Matten;4;6331;0;Hünenberg;2673703.398;1227275.999;de
313409;0;ZG;1703;Hünenberg;Strimatt;9;6331;0;Hünenberg;2673715.699;1226995.496;de
313410;0;ZG;1703;Hünenberg;Marlachen;1;6331;0;Hünenberg;2673985.874;1226998.601;de
313412;0;ZG;1703;Hünenberg;Strimatt;1;6331;0;Hünenberg;2673758.652;1226833.425;de
313413;0;ZG;1703;Hünenberg;Strimatt;15;6331;0;Hünenberg;2673490.475;1226829.432;de
313414;0;ZG;1703;Hünenberg;Rüüsbode;2;6331;0;Hünenberg;2673090.939;1226365.408;de
313416;0;ZG;1703;Hünenberg;Zollweid;10;6331;0;Hünenberg;2673000.936;1226461.513;de
313417;0;ZG;1703;Hünenberg;Zollweid;4;6331;0;Hünenberg;2672956;1226607;de
313418;0;ZG;1703;Hünenberg;Zollweid;2b;6331;0;Hünenberg;2672955.41;1226627.973;de
313419;0;ZG;1703;Hünenberg;Zollweid;2a;6331;0;Hünenberg;2672967.474;1226624.135;de
313420;0;ZG;1703;Hünenberg;Zollweid;1;6331;0;Hünenberg;2673030.12;1226652.622;de
313422;0;ZG;1703;Hünenberg;Matten;2;6331;0;Hünenberg;2673615.604;1227303.227;de
313425;0;ZG;1703;Hünenberg;Gass;1;6331;0;Hünenberg;2673415.518;1227214.639;de
313426;0;ZG;1703;Hünenberg;Drälikon;25;6331;0;Hünenberg;2673972.112;1226255.631;de
313427;0;ZG;1703;Hünenberg;Drälikon;22;6331;0;Hünenberg;2674411.103;1225868.366;de
313428;0;ZG;1703;Hünenberg;Drälikon;23;6331;0;Hünenberg;2674404.206;1225853.434;de
313429;0;ZG;1703;Hünenberg;Geeren;1;6331;0;Hünenberg;2674430.343;1225929.777;de
313430;0;ZG;1703;Hünenberg;Riedhof;1;6331;0;Hünenberg;2674388.862;1226306.728;de
313431;0;ZG;1703;Hünenberg;Rainmatt;11;6331;0;Hünenberg;2674861.668;1226893.056;de
313432;0;ZG;1703;Hünenberg;Rainmatt;9;6331;0;Hünenberg;2674840.604;1226872.257;de
313433;0;ZG;1703;Hünenberg;Rainmatt;7;6331;0;Hünenberg;2674840.572;1226826.464;de
313434;0;ZG;1703;Hünenberg;Rainmatt;1;6331;0;Hünenberg;2674712.163;1226899.342;de
313435;0;ZG;1703;Hünenberg;Rainmatt;3;6331;0;Hünenberg;2674746.765;1226911.841;de
313436;0;ZG;1703;Hünenberg;Chamerstrasse;45;6331;0;Hünenberg;2675383.372;1225908.302;de
313437;0;ZG;1703;Hünenberg;Fildernweg;1;6331;0;Hünenberg;2675388.229;1226017.432;de
313438;0;ZG;1703;Hünenberg;Fildern;1;6331;0;Hünenberg;2675404.978;1226106.708;de
313439;0;ZG;1703;Hünenberg;Rainmatt;5;6331;0;Hünenberg;2674753.532;1226908.895;de
313440;0;ZG;1703;Hünenberg;St. Wolfgang;5;6331;0;Hünenberg;2674955.903;1226693.87;de
313441;0;ZG;1703;Hünenberg;Wartrain;1;6331;0;Hünenberg;2674853.526;1226400.567;de
313442;0;ZG;1703;Hünenberg;Wart;1;6331;0;Hünenberg;2674858.938;1226479.348;de
313443;0;ZG;1703;Hünenberg;Wartstein;1;6331;0;Hünenberg;2674938.567;1226511.308;de
313444;0;ZG;1703;Hünenberg;St. Wolfgang;7;6331;0;Hünenberg;2674973.739;1226731.683;de
313445;0;ZG;1703;Hünenberg;St. Wolfgang;11;6331;0;Hünenberg;2674992.84;1226759.523;de
313446;0;ZG;1703;Hünenberg;St. Wolfgang;17;6331;0;Hünenberg;2675038.372;1226855.504;de
313447;0;ZG;1703;Hünenberg;St. Wolfgang;15;6331;0;Hünenberg;2675060.432;1226741.994;de
313448;0;ZG;1703;Hünenberg;St. Wolfgang;4;6331;0;Hünenberg;2675012.72;1226700.29;de
313449;0;ZG;1703;Hünenberg;St. Wolfgang;2;6331;0;Hünenberg;2675009.613;1226655.636;de
313450;0;ZG;1703;Hünenberg;St. Wolfgang;1;6331;0;Hünenberg;2674942.07;1226637.683;de
313451;0;ZG;1703;Hünenberg;Mühleweg;1;6331;0;Hünenberg;2674469.311;1225528.192;de
313452;0;ZG;1703;Hünenberg;Mühleweg;3;6331;0;Hünenberg;2674470.833;1225492.477;de
313453;0;ZG;1703;Hünenberg;Mühleweg;5;6331;0;Hünenberg;2674479.579;1225468.105;de
313454;0;ZG;1703;Hünenberg;Drälikon;4;6331;0;Hünenberg;2674338.539;1225503.544;de
313455;0;ZG;1703;Hünenberg;Drälikon;5;6331;0;Hünenberg;2674412.543;1225459.828;de
313457;0;ZG;1703;Hünenberg;Drälikon;3;6331;0;Hünenberg;2674348.124;1225634.791;de
313458;0;ZG;1703;Hünenberg;Drälikon;10;6331;0;Hünenberg;2674008.221;1225902.853;de
313459;0;ZG;1703;Hünenberg;Drälikon;11;6331;0;Hünenberg;2673881.409;1225917.729;de
313460;0;ZG;1703;Hünenberg;Drälikon;12;6331;0;Hünenberg;2673809.488;1225917.041;de
313461;0;ZG;1703;Hünenberg;Drälikon;14;6331;0;Hünenberg;2673952.906;1225717.59;de
313462;0;ZG;1703;Hünenberg;Drälikon;15;6331;0;Hünenberg;2673943.723;1225750.987;de
313464;0;ZG;1703;Hünenberg;Giessen;1;6331;0;Hünenberg;2674052.942;1225353.601;de
313466;0;ZG;1703;Hünenberg;Sonneguet;2;6331;0;Hünenberg;2674278.636;1225024.387;de
313467;0;ZG;1703;Hünenberg;Burgstrasse;42;6331;0;Hünenberg;2674366.592;1224985.113;de
313468;0;ZG;1703;Hünenberg;Reusshalde;1;6331;0;Hünenberg;2674252.536;1224832.722;de
313469;0;ZG;1703;Hünenberg;Burgstrasse;45;6331;0;Hünenberg;2674328.639;1224953.088;de
313470;0;ZG;1703;Hünenberg;Burgstrasse;41;6331;0;Hünenberg;2674415.885;1224955.927;de
313471;0;ZG;1703;Hünenberg;Burgstrasse;40;6331;0;Hünenberg;2674401.294;1225001.493;de
313473;0;ZG;1703;Hünenberg;Burgstrasse;30;6331;0;Hünenberg;2674558.992;1224989.894;de
313474;0;ZG;1703;Hünenberg;Bürgerhof;1;6331;0;Hünenberg;2674498.602;1224584.854;de
313475;0;ZG;1703;Hünenberg;Grüt;1;6331;0;Hünenberg;2674811.762;1224715.438;de
313476;0;ZG;1703;Hünenberg;Weidstrasse;2a;6331;0;Hünenberg;2674813.588;1225024.683;de
313477;0;ZG;1703;Hünenberg;Weidstrasse;2b;6331;0;Hünenberg;2674817.983;1225021.34;de
313478;0;ZG;1703;Hünenberg;Weidstrasse;2c;6331;0;Hünenberg;2674822.546;1225017.57;de
313479;0;ZG;1703;Hünenberg;Weidstrasse;2d;6331;0;Hünenberg;2674827.185;1225013.755;de
313480;0;ZG;1703;Hünenberg;Weidstrasse;4a;6331;0;Hünenberg;2674840.321;1224999.916;de
313481;0;ZG;1703;Hünenberg;Weidstrasse;4b;6331;0;Hünenberg;2674843.145;1224994.682;de
313482;0;ZG;1703;Hünenberg;Weidstrasse;4c;6331;0;Hünenberg;2674846.213;1224989.936;de
313483;0;ZG;1703;Hünenberg;Weidstrasse;4d;6331;0;Hünenberg;2674849.096;1224984.457;de
313484;0;ZG;1703;Hünenberg;Weidstrasse;5a;6331;0;Hünenberg;2674879.928;1225017.987;de
313485;0;ZG;1703;Hünenberg;Weidstrasse;5b;6331;0;Hünenberg;2674883.224;1225013.165;de
313486;0;ZG;1703;Hünenberg;Weidstrasse;5c;6331;0;Hünenberg;2674886.033;1225008.067;de
313487;0;ZG;1703;Hünenberg;Weidstrasse;7a;6331;0;Hünenberg;2674890.287;1224992.502;de
313488;0;ZG;1703;Hünenberg;Weidstrasse;7b;6331;0;Hünenberg;2674893.187;1224987.313;de
313489;0;ZG;1703;Hünenberg;Weidstrasse;7c;6331;0;Hünenberg;2674896.138;1224982.581;de
313490;0;ZG;1703;Hünenberg;Weidstrasse;7d;6331;0;Hünenberg;2674899.038;1224977.392;de
313491;0;ZG;1703;Hünenberg;Weidstrasse;9a;6331;0;Hünenberg;2674908.858;1224963.553;de
313492;0;ZG;1703;Hünenberg;Weidstrasse;9b;6331;0;Hünenberg;2674911.707;1224958.566;de
313493;0;ZG;1703;Hünenberg;Weidstrasse;9c;6331;0;Hünenberg;2674914.657;1224953.631;de
313494;0;ZG;1703;Hünenberg;Weidstrasse;12b;6331;0;Hünenberg;2674860.475;1224904.177;de
313495;0;ZG;1703;Hünenberg;Weidstrasse;14;6331;0;Hünenberg;2674860.309;1224878.901;de
313496;0;ZG;1703;Hünenberg;Weidstrasse;16;6331;0;Hünenberg;2674861.226;1224862.078;de
313497;0;ZG;1703;Hünenberg;Weidstrasse;19;6331;0;Hünenberg;2674879.194;1224872.692;de
313498;0;ZG;1703;Hünenberg;Weidstrasse;1;6331;0;Hünenberg;2674860.138;1225046.194;de
313499;0;ZG;1703;Hünenberg;Weidstrasse;15;6331;0;Hünenberg;2674880.164;1224933.231;de
313500;0;ZG;1703;Hünenberg;Weidstrasse;6;6331;0;Hünenberg;2674844.717;1224964.169;de
313501;0;ZG;1703;Hünenberg;Neubösch;1;6331;0;Hünenberg;2675117.023;1224534.299;de
313502;0;ZG;1703;Hünenberg;Talacker;1;6331;0;Hünenberg;2674877.85;1224216.539;de
313503;0;ZG;1703;Hünenberg;Lohmatt;1;6331;0;Hünenberg;2674774.507;1224214.187;de
313504;0;ZG;1703;Hünenberg;Meisterswil;12;6331;0;Hünenberg;2674695.246;1223533.183;de
313505;0;ZG;1703;Hünenberg;Meisterswil;8;6331;0;Hünenberg;2674318.08;1223512.701;de
313506;0;ZG;1703;Hünenberg;Meisterswil;5;6331;0;Hünenberg;2674340.189;1223683.004;de
313507;0;ZG;1703;Hünenberg;Rehweid;1;6331;0;Hünenberg;2674272.822;1223829.676;de
313508;0;ZG;1703;Hünenberg;Meisterswil;3;6331;0;Hünenberg;2674401.827;1223763.699;de
313509;0;ZG;1703;Hünenberg;Oberbösch;1;6331;0;Hünenberg;2675172.467;1224167.655;de
313510;0;ZG;1703;Hünenberg;Üeli;1;6331;0;Hünenberg;2675032.223;1224488.836;de
313511;0;ZG;1703;Hünenberg;Meisterswil;6;6331;0;Hünenberg;2674309.363;1223575.732;de
313512;0;ZG;1703;Hünenberg;Meisterswil;9;6331;0;Hünenberg;2674347.46;1223449.196;de
313513;0;ZG;1703;Hünenberg;Weidstrasse;17;6331;0;Hünenberg;2674879.996;1224901.372;de
313514;0;ZG;1703;Hünenberg;Weidstrasse;12a;6331;0;Hünenberg;2674860.577;1224909.264;de
313515;0;ZG;1703;Hünenberg;Burgstrasse;12;6331;0;Hünenberg;2674720.398;1225040.357;de
313516;0;ZG;1703;Hünenberg;Burgstrasse;10;6331;0;Hünenberg;2674754.876;1225060.352;de
313517;0;ZG;1703;Hünenberg;Burgstrasse;8;6331;0;Hünenberg;2674770.683;1225032.989;de
313518;0;ZG;1703;Hünenberg;Burgstrasse;14;6331;0;Hünenberg;2674693.068;1225039.218;de
313519;0;ZG;1703;Hünenberg;Burgstrasse;6;6331;0;Hünenberg;2674794.881;1225050.011;de
313520;0;ZG;1703;Hünenberg;Burgstrasse;4;6331;0;Hünenberg;2674802.413;1225074.785;de
313521;0;ZG;1703;Hünenberg;Burgstrasse;2;6331;0;Hünenberg;2674830.649;1225088.881;de
313522;0;ZG;1703;Hünenberg;Holzhäusernstrasse;1;6331;0;Hünenberg;2674873.099;1225094.232;de
313524;0;ZG;1703;Hünenberg;Holzhäusernstrasse;19;6331;0;Hünenberg;2674984.79;1224915.835;de
313525;0;ZG;1703;Hünenberg;Holzhäusernstrasse;21;6331;0;Hünenberg;2674993.507;1224893.033;de
313526;0;ZG;1703;Hünenberg;Holzhäusernstrasse;21a;6331;0;Hünenberg;2675026.081;1224897.734;de
313527;0;ZG;1703;Hünenberg;Holzhäusernstrasse;2;6331;0;Hünenberg;2674943.459;1224905.027;de
313529;0;ZG;1703;Hünenberg;Ehretweg;2;6331;0;Hünenberg;2674927.309;1225160.14;de
313530;0;ZG;1703;Hünenberg;Ehretweg;4;6331;0;Hünenberg;2674984.78;1225111.462;de
313531;0;ZG;1703;Hünenberg;Ehretweg;5;6331;0;Hünenberg;2675021.651;1225061.033;de
313532;0;ZG;1703;Hünenberg;Ehretweg;7;6331;0;Hünenberg;2675038.421;1225048.571;de
313533;0;ZG;1703;Hünenberg;Rigistrasse;29;6331;0;Hünenberg;2675137.345;1224899.81;de
313535;0;ZG;1703;Hünenberg;Rigistrasse;33;6331;0;Hünenberg;2675154.753;1224838.35;de
313536;0;ZG;1703;Hünenberg;Rigistrasse;37;6331;0;Hünenberg;2675154.796;1224808.029;de
313537;0;ZG;1703;Hünenberg;Rigistrasse;39;6331;0;Hünenberg;2675156.831;1224778.787;de
313538;0;ZG;1703;Hünenberg;Heinrichstrasse;1;6331;0;Hünenberg;2675038.158;1224791.153;de
313539;0;ZG;1703;Hünenberg;Heinrichstrasse;3;6331;0;Hünenberg;2675021.166;1224795.682;de
313540;0;ZG;1703;Hünenberg;Heinrichstrasse;5;6331;0;Hünenberg;2675034.756;1224819.143;de
313541;0;ZG;1703;Hünenberg;Heinrichstrasse;7;6331;0;Hünenberg;2675017.852;1224819.815;de
313542;0;ZG;1703;Hünenberg;Heinrichstrasse;9;6331;0;Hünenberg;2675040.913;1224846.683;de
313543;0;ZG;1703;Hünenberg;Heinrichstrasse;11;6331;0;Hünenberg;2675013.768;1224843.826;de
313544;0;ZG;1703;Hünenberg;Heinrichstrasse;13;6331;0;Hünenberg;2675039.289;1224871.369;de
313545;0;ZG;1703;Hünenberg;Heinrichstrasse;15;6331;0;Hünenberg;2675009.346;1224868.737;de
313547;0;ZG;1703;Hünenberg;Heinrichstrasse;19a;6331;0;Hünenberg;2675080.983;1224854.245;de
313548;0;ZG;1703;Hünenberg;Heinrichstrasse;21a;6331;0;Hünenberg;2675077.327;1224885.075;de
313549;0;ZG;1703;Hünenberg;Heinrichstrasse;23a;6331;0;Hünenberg;2675064.418;1224908.09;de
313550;0;ZG;1703;Hünenberg;Heinrichstrasse;20b;6331;0;Hünenberg;2675087.366;1224931.207;de
313551;0;ZG;1703;Hünenberg;Heinrichstrasse;18c;6331;0;Hünenberg;2675104.379;1224911.283;de
313552;0;ZG;1703;Hünenberg;Heinrichstrasse;16c;6331;0;Hünenberg;2675122.602;1224882.942;de
313553;0;ZG;1703;Hünenberg;Heinrichstrasse;14c;6331;0;Hünenberg;2675128.278;1224852.119;de
313554;0;ZG;1703;Hünenberg;Heinrichstrasse;12b;6331;0;Hünenberg;2675127.441;1224820.157;de
313555;0;ZG;1703;Hünenberg;Heinrichstrasse;10;6331;0;Hünenberg;2675122.763;1224780.978;de
313556;0;ZG;1703;Hünenberg;Heinrichstrasse;6a;6331;0;Hünenberg;2675098.951;1224822.786;de
313557;0;ZG;1703;Hünenberg;Heinrichstrasse;8;6331;0;Hünenberg;2675097.333;1224784.159;de
313558;0;ZG;1703;Hünenberg;Rigistrasse;35;6331;0;Hünenberg;2675164.83;1224837.565;de
313560;0;ZG;1703;Hünenberg;Heinrichstrasse;19b;6331;0;Hünenberg;2675080.815;1224858.947;de
313561;0;ZG;1703;Hünenberg;Heinrichstrasse;19c;6331;0;Hünenberg;2675080.367;1224864.712;de
313562;0;ZG;1703;Hünenberg;Heinrichstrasse;21b;6331;0;Hünenberg;2675075.443;1224890.963;de
313563;0;ZG;1703;Hünenberg;Heinrichstrasse;23b;6331;0;Hünenberg;2675061.06;1224913.24;de
313564;0;ZG;1703;Hünenberg;Heinrichstrasse;23c;6331;0;Hünenberg;2675058.206;1224917.774;de
313565;0;ZG;1703;Hünenberg;Heinrichstrasse;20a;6331;0;Hünenberg;2675091.172;1224926.282;de
