EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
318828;0;ZG;1710;Walchwil;Zugerstrasse;37;6318;0;Walchwil;2680873.942;1217987.755;de
318830;0;ZG;1710;Walchwil;Zugerstrasse;41;6318;0;Walchwil;2680845.177;1218006.127;de
318831;0;ZG;1710;Walchwil;Zugerstrasse;43;6318;0;Walchwil;2680828.312;1218031.583;de
318832;0;ZG;1710;Walchwil;Oberdorfstrasse;1;6318;0;Walchwil;2680875.314;1218134.247;de
318833;0;ZG;1710;Walchwil;Oberdorfstrasse;20;6318;0;Walchwil;2680910.416;1218156.22;de
318835;0;ZG;1710;Walchwil;Zugerstrasse;58;6318;0;Walchwil;2681039.949;1217903.316;de
318836;0;ZG;1710;Walchwil;Zugerstrasse;60;6318;0;Walchwil;2681049.837;1217897.123;de
318837;0;ZG;1710;Walchwil;Zugerstrasse;62;6318;0;Walchwil;2681060;1217890.837;de
318838;0;ZG;1710;Walchwil;Zugerstrasse;64;6318;0;Walchwil;2681070.164;1217884.521;de
318839;0;ZG;1710;Walchwil;Zugerstrasse;66;6318;0;Walchwil;2681054.634;1217923.089;de
318840;0;ZG;1710;Walchwil;Zugerstrasse;68;6318;0;Walchwil;2681064.524;1217916.893;de
318841;0;ZG;1710;Walchwil;Zugerstrasse;70;6318;0;Walchwil;2681074.413;1217910.728;de
318842;0;ZG;1710;Walchwil;Zugerstrasse;72;6318;0;Walchwil;2681084.576;1217904.136;de
318844;0;ZG;1710;Walchwil;Zugerstrasse;76;6318;0;Walchwil;2681010.742;1217936.581;de
318845;0;ZG;1710;Walchwil;Zugerstrasse;78;6318;0;Walchwil;2680997.926;1217946.705;de
318846;0;ZG;1710;Walchwil;Hörndlirain;15;6318;0;Walchwil;2680921.117;1218190.932;de
318847;0;ZG;1710;Walchwil;Hörndlirain;13;6318;0;Walchwil;2680898.712;1218222.779;de
318849;0;ZG;1710;Walchwil;Hörndlirain;11;6318;0;Walchwil;2680929.218;1218236.899;de
318851;0;ZG;1710;Walchwil;Hörndlirain;7;6318;0;Walchwil;2680910.891;1218257.709;de
318854;0;ZG;1710;Walchwil;Hörndlirain;9;6318;0;Walchwil;2680904.484;1218261.922;de
318855;0;ZG;1710;Walchwil;Neuhausstrasse;2;6318;0;Walchwil;2680939.548;1218117.296;de
318856;0;ZG;1710;Walchwil;Hörndlirain;21;6318;0;Walchwil;2680961.716;1218192.344;de
318857;0;ZG;1710;Walchwil;Hörndlirain;24;6318;0;Walchwil;2680979.287;1218240.137;de
318858;0;ZG;1710;Walchwil;Hörndlirain;28;6318;0;Walchwil;2680961.131;1218304.105;de
318859;0;ZG;1710;Walchwil;Hörndlirain;30;6318;0;Walchwil;2680942.572;1218289.635;de
318860;0;ZG;1710;Walchwil;Hörndlirain;29;6318;0;Walchwil;2680927.798;1218279.379;de
318861;0;ZG;1710;Walchwil;Oberdorfstrasse;18;6318;0;Walchwil;2680900.955;1218123.441;de
318862;0;ZG;1710;Walchwil;Oberdorfstrasse;14;6318;0;Walchwil;2680953.345;1218066.207;de
318863;0;ZG;1710;Walchwil;Zugerstrasse;84b;6318;0;Walchwil;2680813.138;1218111.246;de
318864;0;ZG;1710;Walchwil;Zugerstrasse;86;6318;0;Walchwil;2680781.717;1218187.946;de
318866;0;ZG;1710;Walchwil;Zugerstrasse;33;6318;0;Walchwil;2681028.506;1217841.694;de
318867;0;ZG;1710;Walchwil;Zugerstrasse;35;6318;0;Walchwil;2681007.487;1217880.118;de
318868;0;ZG;1710;Walchwil;Zugerstrasse;92a;6318;0;Walchwil;2680698.153;1218419.049;de
318869;0;ZG;1710;Walchwil;Zugerstrasse;92b;6318;0;Walchwil;2680692.352;1218448.663;de
318870;0;ZG;1710;Walchwil;Zugerstrasse;29;6318;0;Walchwil;2681079.253;1217826.309;de
318871;0;ZG;1710;Walchwil;Zugerstrasse;45;6318;0;Walchwil;2680823.179;1218041.106;de
318873;0;ZG;1710;Walchwil;Zugerstrasse;31;6318;0;Walchwil;2681044.728;1217823.073;de
318874;0;ZG;1710;Walchwil;Zugerstrasse;82;6318;0;Walchwil;2680855.99;1218054.546;de
318876;0;ZG;1710;Walchwil;Zugerstrasse;80a;6318;0;Walchwil;2680916.734;1217994.895;de
