EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
311939;0;ZG;1702;Cham;Alpenblick;8;6330;0;Cham;2678521.571;1226368.471;de
311940;0;ZG;1702;Cham;Alpenblick;9;6330;0;Cham;2678621.14;1226485.101;de
311941;0;ZG;1702;Cham;Alpenblick;10;6330;0;Cham;2678543.787;1226398.026;de
311942;0;ZG;1702;Cham;Alpenblick;12;6330;0;Cham;2678566.374;1226392.29;de
311943;0;ZG;1702;Cham;Alpenblick;6;6330;0;Cham;2678449.309;1226347.37;de
311944;0;ZG;1702;Cham;Alpenblick;7;6330;0;Cham;2678583.687;1226491.743;de
311946;0;ZG;1702;Cham;Alpenblick;4;6330;0;Cham;2678414.864;1226314.243;de
311947;0;ZG;1702;Cham;Alpenblick;5;6330;0;Cham;2678499.906;1226457.367;de
311948;0;ZG;1702;Cham;Alpenblick;2;6330;0;Cham;2678390.323;1226333.726;de
311949;0;ZG;1702;Cham;Alpenblick;3;6330;0;Cham;2678475.951;1226424.692;de
311950;0;ZG;1702;Cham;St. Andreas;1;6330;0;Cham;2677896.168;1225829.63;de
311951;0;ZG;1702;Cham;St. Andreas;2;6330;0;Cham;2677869.772;1225874.313;de
311952;0;ZG;1702;Cham;St. Andreas;3;6330;0;Cham;2677911.814;1225867.611;de
311953;0;ZG;1702;Cham;St. Andreas;7;6330;0;Cham;2677897.412;1225891.392;de
311954;0;ZG;1702;Cham;St. Andreas;9;6330;0;Cham;2677952.733;1225934.031;de
311956;0;ZG;1702;Cham;Seestrasse;25;6330;0;Cham;2677798.307;1225961.257;de
311957;0;ZG;1702;Cham;Adelheid-Page-Strasse;15;6330;0;Cham;2677877.682;1225978.951;de
311958;0;ZG;1702;Cham;Adelheid-Page-Strasse;13;6330;0;Cham;2677879.629;1225990.978;de
311959;0;ZG;1702;Cham;Adelheid-Page-Strasse;7;6330;0;Cham;2677844.998;1226078.504;de
311960;0;ZG;1702;Cham;Adelheid-Page-Strasse;1;6330;0;Cham;2677820.113;1226134.151;de
311961;0;ZG;1702;Cham;Zugerstrasse;44;6330;0;Cham;2677857.643;1226138.674;de
311964;0;ZG;1702;Cham;Zugerstrasse;58a;6330;0;Cham;2677969.406;1226150.118;de
311965;0;ZG;1702;Cham;Zugerstrasse;60;6330;0;Cham;2678051.256;1226183.859;de
311966;0;ZG;1702;Cham;Zugerstrasse;62;6330;0;Cham;2678080.826;1226191.925;de
